word	score	*[+sonorant,+DORSAL]	*[-word_boundary][+voice]	*[-continuant][-voice]	*[+voice][-sonorant]	*[+sonorant][+consonantal]	*[+sonorant][-voice]	*[+continuant][+continuant,+CORONAL]	*[+continuant][+strident]	*[+LABIAL][+consonantal,+LABIAL]	*[+LABIAL][-continuant,+CORONAL]	*[+LABIAL][-continuant,-voice]	*[-anterior][+continuant,-voice]	*[-consonantal][-sonorant]	*[+voice,+CORONAL][+consonantal,+sonorant]	*[-continuant,+CORONAL][+consonantal,+sonorant]	*[+voice][+nasal]	*[-anterior][+DORSAL]	*[-consonantal,+sonorant][-word_boundary]	*[-sonorant,+LABIAL][+nasal]	*[+continuant,+voice,+CORONAL][-anterior]	*[+sonorant,+CORONAL][-anterior]	*[+voice,+strident][-anterior]	*[-anterior][-continuant,+LABIAL]	*[-strident][+consonantal]	*[-sonorant][-consonantal,-sonorant]	*[-continuant,-voice][+nasal,+LABIAL]	*[-consonantal,-sonorant][+nasal]	*[-voice][+sonorant,+CORONAL][-word_boundary]	*[+voice,-strident][+LABIAL]	*[-strident][-back]	*[+continuant,+voice,-anterior][-back]	*[-word_boundary][+nasal][+high]	*[+continuant][+continuant][-word_boundary]	*[+continuant,+voice,+CORONAL]	*[+sonorant][-word_boundary]	*[+continuant,+CORONAL][+continuant,+CORONAL]	*[+LABIAL][+consonantal,-voice]	*[+LABIAL][+LABIAL]	*[+continuant][+consonantal,+continuant]	*[+continuant,+CORONAL][+strident]	*[-anterior][-sonorant]	*[-consonantal][+consonantal]	*[+voice,+CORONAL][+LABIAL]	*[+strident][+strident]	*[+CORONAL][+consonantal,-anterior]	*[-consonantal][+CORONAL]	*[+continuant,+voice][+CORONAL]	*[-continuant][+nasal]	*[-anterior][+high]	*[+sonorant,+CORONAL][+sonorant,+CORONAL]	*[-continuant,-anterior][-word_boundary]	*[-sonorant,+LABIAL][-continuant]	*[+continuant,+voice][+high]	*[+sonorant,+CORONAL][+continuant]	*[+anterior,+strident][-anterior]	*[-strident][+LABIAL]	*[-voice][+voice,+CORONAL]	*[-strident][-sonorant]	*[+continuant][+consonantal,-anterior]	*[+CORONAL][-back]	*[+voice,-anterior][+CORONAL]	*[+LABIAL][+DORSAL]	*[-sonorant,+LABIAL][-consonantal,-sonorant]	*[-word_boundary][-continuant,-anterior]	*[-consonantal][+DORSAL]	*[+voice,+DORSAL][-back]	*[+voice][-continuant,-voice]	*[+continuant,-anterior][-voice,+LABIAL]	*[-word_boundary][+consonantal,+CORONAL][+LABIAL]	*[-consonantal][+consonantal,+LABIAL]	*[-word_boundary][-sonorant,+CORONAL][+LABIAL]	*[+high][-back]	*[+CORONAL][+consonantal,+CORONAL][+LABIAL]	*[-word_boundary][+LABIAL][+LABIAL]	*[-voice,-anterior][-voice,+LABIAL]	*[-continuant,-voice,+CORONAL][+nasal]	*[-anterior][-word_boundary][-word_boundary]	*[+continuant][+CORONAL][+LABIAL]	*[-anterior][+nasal,+CORONAL]	*[-word_boundary][+DORSAL][+consonantal]	*[-strident]	*[+continuant,+voice,-anterior]	*[-anterior][+consonantal,+LABIAL]	*[-continuant,+LABIAL][+high]	*[-anterior][+sonorant,+anterior]	*[+LABIAL][+nasal]	*[+strident][+continuant,+CORONAL]	*[-continuant,+voice][+sonorant,+LABIAL]	*[-continuant,+CORONAL][+sonorant,+anterior]	*[-continuant,+voice,+CORONAL][+consonantal,+CORONAL]	*[+continuant,+LABIAL][+high]	*[-continuant,+anterior][+consonantal,+sonorant]	*[-voice][-continuant,+voice]	*[+voice][+nasal,+CORONAL]	*[-word_boundary][-voice,+CORONAL][+high]	*[-continuant,-anterior][+CORONAL]	*[+strident][-anterior]	*[-continuant,+voice,+CORONAL][+sonorant,+anterior]	*[+continuant,+CORONAL][+continuant,-voice]	*[-continuant,-voice,+CORONAL][+LABIAL]	*[+DORSAL][+nasal,+LABIAL]	*[-word_boundary][+DORSAL][-back]	*[-strident][+high]	*[-continuant,-voice,-anterior]	*[-consonantal][-anterior]	*[+continuant,+voice][+consonantal,+LABIAL]	*[+LABIAL][-sonorant]	*[+LABIAL][-sonorant,+CORONAL]	*[-anterior][-voice]	*[+continuant,+voice][-anterior]	*[+consonantal,+LABIAL][+nasal]	*[-anterior][-continuant]	*[+sonorant][+continuant]	*[-continuant,-voice][+nasal]	*[+continuant,+voice][+nasal]	*[-continuant,+voice][+nasal]	*[+anterior][+nasal]	*[-sonorant,+LABIAL][-sonorant]	*[+voice][-voice]	*[+word_boundary][-back]	*[-voice][-consonantal,-sonorant]	*[-consonantal][-word_boundary]	*[+continuant][+continuant,-voice]	*[-continuant,+anterior][+sonorant,+anterior]	*[+LABIAL][+consonantal,-sonorant]	*[-continuant][+nasal,+LABIAL]	*[-continuant,-voice][-back]	*[-continuant,-voice,+CORONAL][+consonantal,+sonorant]	*[-anterior][-sonorant,+CORONAL]	*[-word_boundary][+DORSAL][+consonantal,+sonorant]	*[+LABIAL][+consonantal,+continuant]	*[+LABIAL][-voice]	*[-continuant,+CORONAL][+lateral]	*[+continuant][-consonantal,-sonorant]	*[+continuant,+voice,+LABIAL][+consonantal]	*[-consonantal][+consonantal,+CORONAL]	*[-consonantal,-sonorant][+consonantal]	*[+continuant,+strident][-back]	*[+voice,-anterior]	*[+continuant,-anterior][+word_boundary]	*[+strident][+continuant,-voice]	*[+DORSAL][+nasal]	*[-voice,+anterior][+lateral]	*[+continuant,-anterior][-sonorant]	*[-consonantal][+nasal]	*[+continuant,+LABIAL][+LABIAL]	*[+continuant,+CORONAL][+high]	*[+LABIAL][-continuant]	*[+continuant,-anterior][-voice]	*[-continuant,-voice][+consonantal,+LABIAL]	annotation
B L 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B M 	12.955	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B N 	9.891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B NG 	16.544	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B P 	19.414	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
B R 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B S 	12.57	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B SH 	13.61	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
B T 	18.452	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
B TH 	14.953	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
