Word,Morph1,Morph2,Pattern,Stress (1syl.2syl)
cashier,cash,ier,Root+Affix,31
catchy,catch,y,Root+Affix,13
catty,cat,y,Root+Affix,13
causal,cause,al,Root+Affix,13
cellist,cello,ist,Root+Affix,13
chatter,chat,er,Root+Affix,13
chatty,chat,y,Root+Affix,13
checker,check,er,Root+Affix,13
cheery,cheer,y,Root+Affix,13
chipper,chip,er,Root+Affix,13
choppy,chop,y,Root+Affix,13
chubby,chub,y,Root+Affix,13
claimant,claim,ant,Root+Affix,13
clapper,clap,er,Root+Affix,13
classic,class,ic,Root+Affix,13
clearance,clear,ance,Root+Affix,13
cleavage,cleave,age,Root+Affix,13
closet,close,et,Root+Affix,13
closure,close,ure,Root+Affix,13
cobble,cob,le,Root+Affix,13
cockade,cock,ade,Root+Affix,31
cocky,cock,y,Root+Affix,13
conic,cone,ic,Root+Affix,13
couchant,couch,ant,Root+Affix,13
crabby,crab,y,Root+Affix,13
cracker,crack,er,Root+Affix,13
crackle,crack,le,Root+Affix,13
crazy,craze,y,Root+Affix,13
creature,create,ure,Root+Affix,13
credence,creed,ence,Root+Affix,13
creepy,creep,y,Root+Affix,13
crosier,cross,ier,Root+Affix,13
cruiser,cruise,er,Root+Affix,13
cubic,cube,ic,Root+Affix,13
daddy,dad,y,Root+Affix,13
daily,day,ly,Root+Affix,13
deaden,dead,en,Root+Affix,13
deafen,deaf,en,Root+Affix,13
dealer,deal,er,Root+Affix,13
dimmer,dim,er,Root+Affix,13
diner,dine,er,Root+Affix,13
dipper,dip,er,Root+Affix,13
dolly,doll,y,Root+Affix,13
dosage,dose,age,Root+Affix,13
dotage,dote,age,Root+Affix,13
downy,down,y,Root+Affix,13
draper,drape,er,Root+Affix,13
dreamer,dream,er,Root+Affix,13
dresser,dress,er,Root+Affix,13
drover,drove,er,Root+Affix,13
drowsy,drowse,y,Root+Affix,13
ducal,duke,al,Root+Affix,13
duchess,duke,ess,Root+Affix,13
duchy,duke,y,Root+Affix,13
dullard,dull,ard,Root+Affix,13
duly,due,ly,Root+Affix,13
dummy,dumb,y,Root+Affix,13
easy,ease,y,Root+Affix,13
errant,err,ant,Root+Affix,13
error,err,or,Root+Affix,13
facial,face,ial,Root+Affix,13
famish,fame,ish,Root+Affix,13
fasten,fast,en,Root+Affix,13
fatty,fat,y,Root+Affix,13
feudal,feud,al,Root+Affix,13
fiery,fire,y,Root+Affix,13
filler,fill,er,Root+Affix,13
filly,fill,y,Root+Affix,13
fizzle,fizz,le,Root+Affix,13
flatten,flat,en,Root+Affix,13
flippant,flip,ant,Root+Affix,13
flipper,flip,er,Root+Affix,13
florid,flora,id,Root+Affix,13
florist,flora,ist,Root+Affix,13
flurry,flurr,y,Root+Affix,13
flutist,flute,ist,Root+Affix,13
folly,fool,y,Root+Affix,13
footage,foot,age,Root+Affix,13
freedom,free,dom,Root+Affix,13
froward,fro,ward,Root+Affix,13
fusion,fuse,ion,Root+Affix,13
gabby,gab,y,Root+Affix,13
gaily,gay,ly,Root+Affix,13
gamy,game,y,Root+Affix,13
gladden,glad,en,Root+Affix,13
glazier,glaze,ier,Root+Affix,13
global,globe,al,Root+Affix,13
goalie,goal,ie,Root+Affix,13
gobble,gob,le,Root+Affix,13
goner,gone,er,Root+Affix,13
goody,good,y,Root+Affix,13
gory,gore,y,Root+Affix,13
gracious,grace,ious,Root+Affix,13
grievance,grieve,ance,Root+Affix,13
grievous,grief,ous,Root+Affix,13
groggy,grog,y,Root+Affix,13
gruesome,grue,some,Root+Affix,13
hairy,hair,y,Root+Affix,13
hasten,haste,en,Root+Affix,13
hatter,hat,er,Root+Affix,13
heady,head,y,Root+Affix,13
heavy,heave,y,Root+Affix,13
heighten,height,en,Root+Affix,13
heiress,heir,ess,Root+Affix,13
hillock,hill,ock,Root+Affix,13
icy,ice,y,Root+Affix,13
inner,in,er,Root+Affix,13
jigger,jig,er,Root+Affix,13
juicy,juice,y,Root+Affix,13
knavish,knave,ish,Root+Affix,13
knobby,knob,y,Root+Affix,13
lacy,lace,y,Root+Affix,13
laddie,lad,ie,Root+Affix,13
laggard,lag,ard,Root+Affix,13
lazy,laze,y,Root+Affix,13
leaden,lead,en,Root+Affix,13
leakage,leak,age,Root+Affix,13
leery,leer,y,Root+Affix,13
leeward,lee,ward,Root+Affix,13
lessen,less,en,Root+Affix,13
lessor,lease,or,Root+Affix,13
lifer,life,er,Root+Affix,13
lighten,light,en,Root+Affix,13
lighter,lighter,er,Root+Affix,13
limeade,lime,ade,Root+Affix,21
linage,line,age,Root+Affix,13
liven,live,en,Root+Affix,13
liver,live,er,Root+Affix,13
locker,lock,er,Root+Affix,13
lodger,lodge,er,Root+Affix,13
lousy,louse,y,Root+Affix,13
lucky,luck,y,Root+Affix,13
luggage,lug,age,Root+Affix,13
madden,mad,en,Root+Affix,13
mannish,man,ish,Root+Affix,13
marriage,marry,age,Root+Affix,13
massive,mass,ive,Root+Affix,13
mawkish,mawk,ish,Root+Affix,13
mileage,mile,age,Root+Affix,13
mimic,mime,ic,Root+Affix,13
miner,mine,er,Root+Affix,13
modal,mode,al,Root+Affix,13
moisten,moist,en,Root+Affix,13
moody,mood,y,Root+Affix,13
mouser,mouse,er,Root+Affix,13
mover,move,er,Root+Affix,13
muggy,mug,y,Root+Affix,13
mulish,mule,ish,Root+Affix,13
mummer,mum,er,Root+Affix,13
naval,navy,al,Root+Affix,13
needy,need,y,Root+Affix,13
nestle,nest,le,Root+Affix,13
newly,new,ly,Root+Affix,13
newness,new,ness,Root+Affix,13
newsy,news,y,Root+Affix,13
nipper,nip,er,Root+Affix,13
nippy,nip,y,Root+Affix,13
nodule,node,ule,Root+Affix,13
noisy,noise,y,Root+Affix,13
nowise,no,wise,Root+Affix,13
nutty,nut,y,Root+Affix,13
oafish,oaf,ish,Root+Affix,13
oaken,oak,en,Root+Affix,13
offish,off,ish,Root+Affix,13
oozy,ooze,y,Root+Affix,13
outer,out,er,Root+Affix,13
pacer,pace,er,Root+Affix,13
package,pack,age,Root+Affix,13
packer,pack,er,Root+Affix,13
packet,pack,et,Root+Affix,13
papist,pope,ist,Root+Affix,13
passage,pass,age,Root+Affix,13
patter,pat,er,Root+Affix,13
payment,pay,ment,Root+Affix,13
peevish,peeve,ish,Root+Affix,13
piggish,pig,ish,Root+Affix,13
piker,pike,er,Root+Affix,13
pitcher,pitch,er,Root+Affix,13
pleasant,please,ant,Root+Affix,13
pleasure,please,ure,Root+Affix,13
plucky,pluck,y,Root+Affix,13
plumber,plumb,er,Root+Affix,13
plumy,plume,y,Root+Affix,13
poker,poke,er,Root+Affix,13
polar,pole,ar,Root+Affix,13
porous,pore,ous,Root+Affix,13
poseur,pose,eur,Root+Affix,31
pottage,pot,age,Root+Affix,13
potter,pot,er,Root+Affix,13
prickle,prick,le,Root+Affix,13
primal,prime,al,Root+Affix,13
prosy,prose,y,Root+Affix,13
prudish,prude,ish,Root+Affix,13
psychic,psyche,ic,Root+Affix,13
pudgy,pudge,y,Root+Affix,13
puppy,pup,y,Root+Affix,13
purist,pure,ist,Root+Affix,13
pussy,puss,y,Root+Affix,13
putter,putt,er,Root+Affix,13
quaker,quake,er,Root+Affix,13
quicken,quick,en,Root+Affix,13
quickie,quick,ie,Root+Affix,13
quittance,quit,ance,Root+Affix,13
racial,race,ial,Root+Affix,13
racy,race,y,Root+Affix,13
rainy,rain,y,Root+Affix,13
reamer,ream,er,Root+Affix,13
reddish,red,ish,Root+Affix,13
