Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('R', 'B')",derby,XC,0.0,0.9278750302963965,0.07212496970360352,0,CX,0.25,0.25,0.25,0,0,True,True,0.9303303303303303,0.0
"('R', 'B')",derby,CX,0.0,0.9278750302963965,0.07212496970360352,0,CX,0.25,0.25,0.25,0,21,True,True,0.06866866866866866,0.15791875855773618
"('R', 'B')",derby,CCX,0.0,0.9278750302963965,0.07212496970360352,0,CX,0.25,0.25,0.25,0,0,True,True,0.001001001001001001,0.8420812414422638
"('R', 'B')",derby,X,0.0,0.9278750302963965,0.07212496970360352,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('K', 'R')",decry,XC,0.47433953941376505,0.5256604605862348,0.0,0,XC,1,0,0,0,20,False,True,0.8542279411764705,0.033946251768033946
"('K', 'R')",decry,CX,0.47433953941376505,0.5256604605862348,0.0,0,XC,1,0,0,0,1,False,True,0.1457720588235294,0.22044857546979185
"('K', 'R')",decry,CCX,0.47433953941376505,0.5256604605862348,0.0,0,XC,1,0,0,0,0,False,True,0.0,0.7456051727621741
"('K', 'R')",decry,X,0.47433953941376505,0.5256604605862348,0.0,0,XC,1,0,0,0,0,False,True,,
"('D',)",deduce,XC,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,20,False,True,0.8619922092376182,0.22266694754581842
"('D',)",deduce,CX,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,1,False,True,0.13800779076238173,0.7773330524541816
"('D',)",deduce,X,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,0,False,True,,
"('G', 'R')",degree,XC,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,19,False,True,0.9791403286978507,0.028449502133712657
"('G', 'R')",degree,CX,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,2,False,True,0.020859671302149177,0.2217029059134322
"('G', 'R')",degree,CCX,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,0,False,True,0.0,0.749847591952855
"('G', 'R')",degree,X,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,0,False,True,,
"('T', 'L')",outlaw,XC,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,False,0.7754046387452027,0.0
"('T', 'L')",outlaw,CX,0.0,1.0,0.0,0,CX,0,1,0,0,21,True,False,0.22459536125479723,0.13603371575743387
"('T', 'L')",outlaw,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,False,0.0,0.863966284242566
"('T', 'L')",outlaw,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,False,,
"('L',)",elude,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,17,False,True,0.7100076394194041,0.13603371575743387
