Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('N', 'D', 'S', 'T')",grindstone,CCCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,2,True,False,0.0,0.7331571994715984
"('N', 'D', 'S', 'T')",grindstone,X,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,1,True,False,,
"('L',)",goulash,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,17,True,False,0.7100076394194041,0.13603371575743387
"('L',)",goulash,CX,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,4,True,False,0.2899923605805959,0.863966284242566
"('L',)",goulash,X,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('V',)",reveal,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,19,False,True,0.9231227651966627,0.08911379906196001
"('V',)",reveal,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,2,False,True,0.07687723480333729,0.91088620093804
"('V',)",reveal,X,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0,False,True,,
"('T',)",potash,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,12,True,False,0.7754046387452027,0.13074204946996465
"('T',)",potash,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,9,True,False,0.22459536125479723,0.8692579505300353
"('T',)",potash,X,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,0,True,False,,
"('F',)",guffaw,XC,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,16,False,True,0.9748269351793581,0.13135593220338984
"('F',)",guffaw,CX,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,5,False,True,0.025173064820641914,0.8686440677966102
"('F',)",guffaw,X,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,0,False,True,,
"('N', 'S', 'T')",instance,XC,0.0,0.7196415476733512,0.26437880003926345,0.015979652287385456,CX,0.25,0.25,0.25,0.25,0,True,True,0.6239258861439312,0.0
"('N', 'S', 'T')",instance,CX,0.0,0.7196415476733512,0.26437880003926345,0.015979652287385456,CX,0.25,0.25,0.25,0.25,13,True,True,0.3313641245972073,0.045423881268270745
"('N', 'S', 'T')",instance,CCX,0.0,0.7196415476733512,0.26437880003926345,0.015979652287385456,CX,0.25,0.25,0.25,0.25,6,True,True,0.04430719656283566,0.12480323813807061
"('N', 'S', 'T')",instance,CCCX,0.0,0.7196415476733512,0.26437880003926345,0.015979652287385456,CX,0.25,0.25,0.25,0.25,2,True,True,0.0004027926960257787,0.8297728805936586
"('N', 'S', 'T')",instance,X,0.0,0.7196415476733512,0.26437880003926345,0.015979652287385456,CX,0.25,0.25,0.25,0.25,0,True,True,,
"('K', 'R')",decree,XC,0.47433953941376505,0.5256604605862348,0.0,0,XC,0.25,0.25,0.25,0,19,False,True,0.8542279411764705,0.033946251768033946
"('K', 'R')",decree,CX,0.47433953941376505,0.5256604605862348,0.0,0,XC,0.25,0.25,0.25,0,2,False,True,0.1457720588235294,0.22044857546979185
"('K', 'R')",decree,CCX,0.47433953941376505,0.5256604605862348,0.0,0,XC,0.25,0.25,0.25,0,0,False,True,0.0,0.7456051727621741
"('K', 'R')",decree,X,0.47433953941376505,0.5256604605862348,0.0,0,XC,0.25,0.25,0.25,0,0,False,True,,
