Cluster,Length,Onset count,Coda count,Onset proportion,Coda proportion,Onset prob2,Coda prob2
"('L', 'K', 'T')",3,0,1,0,5.48E-05,0,0.003199591
"('S', 'P', 'L')",3,12,0,0.000657318,0,0.013495495,0
"('R', 'F')",2,0,3,0,0.00016433,0,0.000224306
"('DH',)",1,17,17,0.000931201,0.000931201,0.000543034,0.000472939
"('R', 'CH')",2,0,10,0,0.000547765,0,0.000747686
"('R', 'T', 'S')",3,0,1,0,5.48E-05,0,0.003199591
"('R', 'V')",2,0,2,0,0.000109553,0,0.000149537
"('R', 'G')",2,0,1,0,5.48E-05,0,7.48E-05
"('N', 'T')",2,0,597,0,0.032701578,0,0.044636857
"('Z',)",1,50,356,0.002738826,0.019500438,0.001597159,0.009903891
"('R',)",1,1091,343,0.059761174,0.018788344,0.034850003,0.009542232
"('N', 'TH')",2,0,24,0,0.001314636,0,0.001794446
