Cluster,Syllabification,Prop Responses
,N Z.,0.08513708500000002
,?.?,0.0
DH S,,
,.DH S,0.1
,DH.S,0.9
,DH S.,0.0
,?.?,0.0
L F,,
,.L F,0.022253787755563442
,L.F,0.9275979911068994
,L F.,0.03878458488469614
,?.?,0.011363636252840908
M P R,,
,.M P R,0.01086956525
,M.P R,0.93478260875
,M P.R,0.054347826
,M P R.,0.0
,?.?,0.0
DH,,
,.DH,0.7544412210429503
,DH.,0.23913342016416786
,?.?,0.006425358792881883
T M,,
,.T M,0.03364389249158902
,T.M,0.9544513455113871
,T M.,0.011904761997023809
,?.?,0.0
R,,
,.R,0.43080435933294714
,R.,0.5622194138083648
,?.?,0.006976226858688007
S K,,
,.S K,0.22292237912
,S.K,0.7009152268000001
,S K.,0.06663858456
,?.?,0.009523809520000003
NG G W,,
,.NG G W,0.02727272715064935
,NG.G W,0.8458441560988126
,NG G.W,0.12038961032011133
,NG G W.,0.0
,?.?,0.006493506430426716
M W,,
,.M W,0.05
,M.W,0.95
,M W.,0.0
,?.?,0.0
N CH M,,
,.N CH M,0.0
,N.CH M,0.15
,N CH.M,0.85
,N CH M.,0.0
,?.?,0.0
TH,,
,.TH,0.6500630528571429
,TH.,0.34707980428571433
,?.?,0.002857142857142857
W,,
,.W,0.9779314888333333
,W.,0.01844532275
,?.?,0.0036231884166666663
G P,,
,.G P,0.0
,G.P,1.0
,G P.,0.0
,?.?,0.0
L B,,
,.L B,0.0075757574999999995
,L.B,0.9790909091666666
,L B.,0.006666666666666667
,?.?,0.006666666666666667
R V,,
,.R V,0.006204906200413661
,R.V,0.9306211180620414
,R V.,0.06027542500401837
,?.?,0.0028985507335265704
D V,,
,.D V,0.04841269849193122
,D.V,0.9277777776787038
,D V.,0.023809523829365083
,?.?,0.0
P L,,
,.P L,0.5525523200689262
,P.L,0.4411423910266123
,P L.,0.006305288904461654
,?.?,0.0
HH,,
,.HH,0.9861660080000001
,HH.,0.013833992
,?.?,0.0
R P R,,
,.R P R,0.15
,R.P R,0.85
,R P.R,0.0
,R P R.,0.0
,?.?,0.0
N D L,,
,.N D L,0.017637163625000004
,N.D L,0.30718167687500003
,N D.L,0.6516421985
,N D L.,0.023538961
,?.?,0.0
P S,,
,.P S,0.072895256875
,P.S,0.8624727085
,P S.,0.058679653625
,?.?,0.005952381
G Z,,
,.G Z,0.059307359257413414
,G.Z,0.6538690477067336
,G Z.,0.2868235930358529
,?.?,0.0
L K,,
,.L K,0.0
,L.K,0.836709486
,L K.,0.163290514
,?.?,0.0
Z D,,
,.Z D,0.0
,Z.D,1.0
,Z D.,0.0
,?.?,0.0
R CH,,
,.R CH,0.014069264001406926
,R.CH,0.843939394084394
,R CH.,0.14199134191419915
,?.?,0.0
R B,,
,.R B,0.01524170274936493
,R.B,0.9445685503773096
,R B.,0.03640186808181659
,?.?,0.0037878787915088387
R K,,
,.R K,0.004446640300000001
,R.K,0.8756357049
,R K.,0.11299124790000001
,?.?,0.006926406900000001
N D M,,
,.N D M,0.010869565250000001
,N.D M,0.15775691675000003
,N D.M,0.831373518
,N D M.,0.0
,?.?,0.0
R S,,
,.R S,0.012528367035714284
,R.S,0.9469788390357143
,R S.,0.03575794546428572
,?.?,0.004734848464285715
M Z D,,
,.M Z D,0.0
,M.Z D,0.2
,M Z.D,0.8
,M Z D.,0.0
,?.?,0.0
N P,,
,.N P,0.0125
,N.P,0.9770833332500001
,N P.,0.0
,?.?,0.01041666675
K N,,
,.K N,0.04669140371428572
,K.N,0.9400123687142858
,K N.,0.006802721142857143
,?.?,0.00649350642857143
N HH,,
,.N HH,0.0
,N.HH,1.0
,N HH.,0.0
,?.?,0.0
F HH,,
,.F HH,0.0
,F.HH,1.0
,F HH.,0.0
,?.?,0.0
NG G,,
,.NG G,0.03141978795833333
,NG.G,0.9021745011250001
,NG G.,0.058649578166666654
,?.?,0.007756132750000001
NG K CH,,
,.NG K CH,0.0
,NG.K CH,0.24848484841616159
,NG K.CH,0.7212121215737374
,NG K CH.,0.015151515005050502
,?.?,0.015151515005050502
R F,,
,.R F,0.0074490726363636356
,R.F,0.9552530474545453
,R F.,0.03275242536363636
,?.?,0.004545454545454545
B L,,
,.B L,0.5587604213010307
,B.L,0.4251619224029603
,B L.,0.016077656296009137
,?.?,0.0
F R,,
,.F R,0.676811594125
,F.R,0.31231884062500004
,F R.,0.01086956525
,?.?,0.0
N TH,,
,.N TH,0.014492753666666665
,N.TH,0.8914423739999999
,N TH.,0.09406487233333333
,?.?,0.0
N D R,,
,.N D R,0.009761904799023809
,N.D R,0.8037662337196234
,N D.R,0.17323075478267694
,N D R.,0.008695652199130434
,?.?,0.0045454544995454545
R W,,
,.R W,0.01136363625
,R.W,0.98863636375
,R W.,0.0
,?.?,0.0
P T,,
,.P T,0.0641394179090909
,P.T,0.906703968
,P T.,0.029156614090909094
,?.?,0.0
R M W,,
,.R M W,0.05
,R.M W,0.0
,R M.W,0.95
,R M W.,0.0
,?.?,0.0
N G,,
,.N G,0.05
,N.G,0.95
,N G.,0.0
,?.?,0.0
N S P,,
,.N S P,0.010869565250000001
,N.S P,0.56773715425
,N S.P,0.4088932805
,N S P.,0.0
,?.?,0.012500000000000002
S T K,,
,.S T K,0.0
,S.T K,0.15
,S T.K,0.85
,S T K.,0.0
,?.?,0.0
N K,,
,.N K,0.014712340777777777
,N.K,0.9655248133333334
,N K.,0.019762845888888887
,?.?,0.0
L T,,
,.L T,0.008410973125
,L.T,0.9357351661250001
,L T.,0.05585386075000001
,?.?,0.0
N S T,,
,.N S T,0.012413804906833853
,N.S T,0.8788156835674881
,N S.T,0.07133232389612139
,N S T.,0.03743818762955669
,?.?,0.0
L D,,
,.L D,0.013655185398634482
,L.D,0.792508940420749
,L D.,0.19383587418061637
,?.?,0.0
L CH,,
,.L CH,0.0
,L.CH,0.80952381
,L CH.,0.19047619
,?.?,0.0
F T,,
,.F T,0.0972486010909091
,F.T,0.773274814909091
,F T.,0.129476584
,?.?,0.0
R L,,
,.R L,0.007819212912703512
,R.L,0.9520740760020836
,R L.,0.034083748563735486
,?.?,0.006022962521477262
R N Y,,
,.R N Y,0.0
,R.N Y,0.42857142857142855
,R N.Y,0.42857142857142855
,R N Y.,0.04761904795238094
,?.?,0.09523809490476189
B Y,,
,.B Y,0.8359213249999999
,B.Y,0.1423395445
,B Y.,0.01086956525
,?.?,0.01086956525
N G R,,
,.N G R,0.045454545500000006
,N.G R,0.8841991345000001
,N G.R,0.047619047500000004
,N G R.,0.0
,?.?,0.022727272500000003
B S,,
,.B S,0.031024531003447167
,B.S,0.9384319385487148
,B S.,0.030543530447838176
,?.?,0.0
F L,,
,.F L,0.5452409185
,F.L,0.43225531712500004
,F L.,0.022503764375
,?.?,0.0
M B R,,
,.M B R,0.0
,M.B R,0.904761905
,M B.R,0.095238095
,M B R.,0.0
,?.?,0.0
N S T R,,
