Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax
"('V',)",grievous,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,20,True,False
"('V',)",grievous,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,2,True,False
"('V',)",grievous,X,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,0,True,False
"('V',)",grievance,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,18,True,False
"('V',)",grievance,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,4,True,False
"('V',)",grievance,X,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,0,True,False
"('N', 'S')",consist,XC,0.0,0.6911250384286415,0.3088749615713585,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'S')",consist,CX,0.0,0.6911250384286415,0.3088749615713585,0,CX,0.25,0.25,0.25,0,22,False,True
"('N', 'S')",consist,CCX,0.0,0.6911250384286415,0.3088749615713585,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'S')",consist,X,0.0,0.6911250384286415,0.3088749615713585,0,CX,0.25,0.25,0.25,0,0,False,True
"('G', 'R')",regress,XC,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,21,True,False
"('G', 'R')",regress,CX,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,1,True,False
"('G', 'R')",regress,CCX,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,0,True,False
"('G', 'R')",regress,X,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,0,True,False
"('N', 'T')",contempt,XC,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,False,True
"('N', 'T')",contempt,CX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,20,False,True
"('N', 'T')",contempt,CCX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,2,False,True
"('N', 'T')",contempt,X,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0,False,True
"('B', 'L')",goblet,XC,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,11,True,False
"('B', 'L')",goblet,CX,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,11,True,False
"('B', 'L')",goblet,CCX,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,0,True,False
"('B', 'L')",goblet,X,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,0,True,False
"('B',)",gobble,XC,0.8952201829345698,0.10477981706543017,0,0,XC,0,1,0,0,16,True,False
"('B',)",gobble,CX,0.8952201829345698,0.10477981706543017,0,0,XC,0,1,0,0,6,True,False
