Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax
"('R',)",arrow,XC,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,9,True,True
"('R',)",arrow,CX,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,12,True,True
"('R',)",arrow,X,0.8002271942738329,0.19977280572616696,0,0,XC,0.25,0.25,0,0,1,True,True
"('L', 'Y')",stallion,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,3,True,True
"('L', 'Y')",stallion,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,18,True,True
"('L', 'Y')",stallion,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,True
"('L', 'Y')",stallion,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True
"('N', 'R')",unrest,XC,0.0,1.0,0.0,0,CX,0,1,0,0,0,False,True
"('N', 'R')",unrest,CX,0.0,1.0,0.0,0,CX,0,1,0,0,21,False,True
"('N', 'R')",unrest,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,1,False,True
"('N', 'R')",unrest,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,False,True
"('V',)",driving,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,16,True,False
"('V',)",driving,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,6,True,False
"('V',)",driving,X,0.5401753672482296,0.4598246327517703,0,0,XC,0,1,0,0,0,True,False
"('D',)",dodo,XC,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,22,True,False
"('D',)",dodo,CX,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,0,True,False
"('D',)",dodo,X,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,0,True,False
"('N', 'K', 'L')",incline,XC,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'K', 'L')",incline,CX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,22,True,True
"('N', 'K', 'L')",incline,CCX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'K', 'L')",incline,CCCX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'K', 'L')",incline,X,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('R', 'T')",arty,XC,0.0,0.4795027770431103,0.5204972229568897,0,CX,0,0,1,0,0,True,False
"('R', 'T')",arty,CX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0,0,1,0,17,True,False
"('R', 'T')",arty,CCX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0,0,1,0,5,True,False
"('R', 'T')",arty,X,0.0,0.4795027770431103,0.5204972229568897,0,CX,0,0,1,0,0,True,False
"('T',)",setter,XC,0.3417896651459582,0.6582103348540418,0,0,XC,1,0,0,0,15,True,True
"('T',)",setter,CX,0.3417896651459582,0.6582103348540418,0,0,XC,1,0,0,0,6,True,True
"('T',)",setter,X,0.3417896651459582,0.6582103348540418,0,0,XC,1,0,0,0,1,True,True
"('G', 'N')",stagnate,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,2,True,True
"('G', 'N')",stagnate,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,20,True,True
