Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency
"('N',)",fennel,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,1
"('N', 'F')",infirm,XC,0.0,1.0,0.0,0,CX,0,1,0,0,0
"('N', 'F')",infirm,CX,0.0,1.0,0.0,0,CX,0,1,0,0,21
"('N', 'F')",infirm,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,0
"('N', 'F')",infirm,X,0.0,1.0,0.0,0,CX,0,1,0,0,1
"('S', 'T')",piston,XC,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,3
"('S', 'T')",piston,CX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,15
"('S', 'T')",piston,CCX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,4
"('S', 'T')",piston,X,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0.25,0.25,0.25,0,0
"('L',)",alive,XC,0.27823975756444025,0.7217602424355597,0,0,XC,1,0,0,0,21
"('L',)",alive,CX,0.27823975756444025,0.7217602424355597,0,0,XC,1,0,0,0,1
"('L',)",alive,X,0.27823975756444025,0.7217602424355597,0,0,XC,1,0,0,0,0
"('N', 'T')",fountain,XC,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,1
"('N', 'T')",fountain,CX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,20
"('N', 'T')",fountain,CCX,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,1
"('N', 'T')",fountain,X,0.0,0.3833939322691433,0.6166060677308568,0,CX,0.25,0.25,0.25,0,0
"('T',)",latex,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,21
"('T',)",latex,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,1
"('T',)",latex,X,0.3417896651459582,0.6582103348540418,0,0,XC,0.25,0.25,0,0,0
"('V',)",traverse,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,17
"('V',)",traverse,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,5
"('V',)",traverse,X,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0
"('CH',)",future,XC,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,22
"('CH',)",future,CX,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,0
"('CH',)",future,X,0.6349992045913436,0.3650007954086565,0,0,XC,0.25,0.25,0,0,0
"('L', 'F', 'R')",palfrey,XC,0.0,0.9485615140171053,0.051438485982894695,0.0,CX,0.25,0.25,0.25,0.25,1
"('L', 'F', 'R')",palfrey,CX,0.0,0.9485615140171053,0.051438485982894695,0.0,CX,0.25,0.25,0.25,0.25,19
"('L', 'F', 'R')",palfrey,CCX,0.0,0.9485615140171053,0.051438485982894695,0.0,CX,0.25,0.25,0.25,0.25,1
"('L', 'F', 'R')",palfrey,CCCX,0.0,0.9485615140171053,0.051438485982894695,0.0,CX,0.25,0.25,0.25,0.25,1
"('L', 'F', 'R')",palfrey,X,0.0,0.9485615140171053,0.051438485982894695,0.0,CX,0.25,0.25,0.25,0.25,0
"('D', 'R')",tawdry,XC,0.29757992076719786,0.7024200792328021,0.0,0,XC,0.25,0.25,0.25,0,17
"('D', 'R')",tawdry,CX,0.29757992076719786,0.7024200792328021,0.0,0,XC,0.25,0.25,0.25,0,5
"('D', 'R')",tawdry,CCX,0.29757992076719786,0.7024200792328021,0.0,0,XC,0.25,0.25,0.25,0,0
"('D', 'R')",tawdry,X,0.29757992076719786,0.7024200792328021,0.0,0,XC,0.25,0.25,0.25,0,0
"('R', 'P')",torpor,XC,0.0,0.9461986189520831,0.05380138104791677,0,CX,0.25,0.25,0.25,0,0
"('R', 'P')",torpor,CX,0.0,0.9461986189520831,0.05380138104791677,0,CX,0.25,0.25,0.25,0,22
"('R', 'P')",torpor,CCX,0.0,0.9461986189520831,0.05380138104791677,0,CX,0.25,0.25,0.25,0,0
"('R', 'P')",torpor,X,0.0,0.9461986189520831,0.05380138104791677,0,CX,0.25,0.25,0.25,0,0
"('R', 'P')",torpid,XC,0.0,0.9461986189520831,0.05380138104791677,0,CX,0.25,0.25,0.25,0,0
"('R', 'P')",torpid,CX,0.0,0.9461986189520831,0.05380138104791677,0,CX,0.25,0.25,0.25,0,20
"('R', 'P')",torpid,CCX,0.0,0.9461986189520831,0.05380138104791677,0,CX,0.25,0.25,0.25,0,2
"('R', 'P')",torpid,X,0.0,0.9461986189520831,0.05380138104791677,0,CX,0.25,0.25,0.25,0,0
"('R', 'CH')",kerchief,XC,0.0,0.5546812773044338,0.4453187226955661,0,CX,0.25,0.25,0.25,0,0
"('R', 'CH')",kerchief,CX,0.0,0.5546812773044338,0.4453187226955661,0,CX,0.25,0.25,0.25,0,21
"('R', 'CH')",kerchief,CCX,0.0,0.5546812773044338,0.4453187226955661,0,CX,0.25,0.25,0.25,0,1
"('R', 'CH')",kerchief,X,0.0,0.5546812773044338,0.4453187226955661,0,CX,0.25,0.25,0.25,0,0
"('F',)",befall,XC,0.8541418381685908,0.1458581618314093,0,0,XC,1,0,0,0,19
"('F',)",befall,CX,0.8541418381685908,0.1458581618314093,0,0,XC,1,0,0,0,2
"('F',)",befall,X,0.8541418381685908,0.1458581618314093,0,0,XC,1,0,0,0,1
"('P',)",topaz,XC,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,21
"('P',)",topaz,CX,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,1
