Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency
"('R', 'CH')",urchin,CCX,0.0,0.5546812773044338,0.4453187226955661,0,CX,0.25,0.25,0.25,0,2
"('R', 'CH')",urchin,X,0.0,0.5546812773044338,0.4453187226955661,0,CX,0.25,0.25,0.25,0,0
"('B', 'L')",oblique,XC,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,18
"('B', 'L')",oblique,CX,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,3
"('B', 'L')",oblique,CCX,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,1
"('B', 'L')",oblique,X,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,0
"('JH',)",frigid,XC,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,17
"('JH',)",frigid,CX,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,5
"('JH',)",frigid,X,0.5922884283359673,0.40771157166403266,0,0,XC,0.25,0.25,0,0,0
"('M', 'B')",trombone,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('M', 'B')",trombone,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,22
"('M', 'B')",trombone,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('M', 'B')",trombone,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('F',)",truffle,XC,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,16
"('F',)",truffle,CX,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,6
"('F',)",truffle,X,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,0
"('D', 'W')",speedway,XC,0.06251429340149324,0.9374857065985068,0.0,0,XC,0,1,0,0,2
"('D', 'W')",speedway,CX,0.06251429340149324,0.9374857065985068,0.0,0,XC,0,1,0,0,20
"('D', 'W')",speedway,CCX,0.06251429340149324,0.9374857065985068,0.0,0,XC,0,1,0,0,0
"('D', 'W')",speedway,X,0.06251429340149324,0.9374857065985068,0.0,0,XC,0,1,0,0,0
"('L', 'B')",album,XC,0.0,0.9971984031657285,0.002801596834271501,0,CX,0.25,0.25,0.25,0,0
"('L', 'B')",album,CX,0.0,0.9971984031657285,0.002801596834271501,0,CX,0.25,0.25,0.25,0,22
"('L', 'B')",album,CCX,0.0,0.9971984031657285,0.002801596834271501,0,CX,0.25,0.25,0.25,0,0
"('L', 'B')",album,X,0.0,0.9971984031657285,0.002801596834271501,0,CX,0.25,0.25,0.25,0,0
"('F',)",afford,XC,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,22
"('F',)",afford,CX,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,0
"('F',)",afford,X,0.8541418381685908,0.1458581618314093,0,0,XC,0.25,0.25,0,0,0
"('S', 'CH')",bestial,XC,0.0,1.0,0.0,0,CX,0,0,1,0,11
"('S', 'CH')",bestial,CX,0.0,1.0,0.0,0,CX,0,0,1,0,8
"('S', 'CH')",bestial,CCX,0.0,1.0,0.0,0,CX,0,0,1,0,0
"('S', 'CH')",bestial,X,0.0,1.0,0.0,0,CX,0,0,1,0,3
"('M', 'P', 'R')",imprint,XC,0.0,0.8398386348555757,0.16016136514442414,0.0,CX,0.25,0.25,0.25,0.25,0
