Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('CH',)",ratchet,X,0.7044137656328234,0.29558623436717657,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('P', 'T')",chapter,XC,0.0,0.51824178342281,0.4817582165771899,0,CX,0.25,0.25,0.25,0,0,True,True,0.9513774279548051,0.0
"('P', 'T')",chapter,CX,0.0,0.51824178342281,0.4817582165771899,0,CX,0.25,0.25,0.25,0,21,True,True,0.04316364098006854,0.119755666291593
"('P', 'T')",chapter,CCX,0.0,0.51824178342281,0.4817582165771899,0,CX,0.25,0.25,0.25,0,0,True,True,0.005458931065126315,0.8802443337084069
"('P', 'T')",chapter,X,0.0,0.51824178342281,0.4817582165771899,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('M',)",women,XC,0.7166613943220214,0.2833386056779786,0,0,XC,0.25,0.25,0,0,16,True,True,0.9103498542274052,0.1994152046783626
"('M',)",women,CX,0.7166613943220214,0.2833386056779786,0,0,XC,0.25,0.25,0,0,5,True,True,0.08965014577259474,0.8005847953216375
"('M',)",women,X,0.7166613943220214,0.2833386056779786,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('P', 'R')",cypress,XC,0.8991805746829523,0.10081942531704777,0.0,0,XC,0.25,0.25,0.25,0,18,True,False,0.9565994383456726,0.08202716823406479
"('P', 'R')",cypress,CX,0.8991805746829523,0.10081942531704777,0.0,0,XC,0.25,0.25,0.25,0,3,True,False,0.043400561654327284,0.20271682340647862
"('P', 'R')",cypress,CCX,0.8991805746829523,0.10081942531704777,0.0,0,XC,0.25,0.25,0.25,0,0,True,False,0.0,0.7152560083594567
"('P', 'R')",cypress,X,0.8991805746829523,0.10081942531704777,0.0,0,XC,0.25,0.25,0.25,0,0,True,False,,
"('T', 'G')",zeitgeist,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,False,0.8192850114791734,0.0
"('T', 'G')",zeitgeist,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,19,True,False,0.18071498852082649,0.06393162393162394
"('T', 'G')",zeitgeist,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,False,0.0,0.936068376068376
"('T', 'G')",zeitgeist,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,False,,
"('P',)",zipper,XC,0.8338660131144698,0.16613398688553027,0,0,XC,1,0,0,0,9,True,True,0.9565994383456726,0.1854826714264465
"('P',)",zipper,CX,0.8338660131144698,0.16613398688553027,0,0,XC,1,0,0,0,11,True,True,0.043400561654327284,0.8145173285735534
