Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('D',)",edict,X,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('R',)",sorry,XC,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,16,True,False,0.944185460501449,0.22083096186681847
"('R',)",sorry,CX,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,5,True,False,0.055814539498551086,0.7791690381331815
"('R',)",sorry,X,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('N', 'HH')",pinhole,XC,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True,0.7205769230769231,0.0
"('N', 'HH')",pinhole,CX,0.0,1.0,0.0,0,CX,0,1,0,0,21,True,True,0.27942307692307683,0.1406151914626491
"('N', 'HH')",pinhole,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True,0.0,0.8593848085373509
"('N', 'HH')",pinhole,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True,,
"('R',)",sparrow,XC,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,9,True,True,0.944185460501449,0.22083096186681847
"('R',)",sparrow,CX,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,12,True,True,0.055814539498551086,0.7791690381331815
"('R',)",sparrow,X,0.8274208846035972,0.1725791153964029,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('JH',)",ajar,XC,0.6457744894239216,0.3542255105760785,0,0,XC,1,0,0,0,20,False,True,0.9639825057885257,0.06377158488630535
"('JH',)",ajar,CX,0.6457744894239216,0.3542255105760785,0,0,XC,1,0,0,0,1,False,True,0.036017494211474134,0.9362284151136946
"('JH',)",ajar,X,0.6457744894239216,0.3542255105760785,0,0,XC,1,0,0,0,0,False,True,,
"('L', 'JH')",soldier,XC,0.0,0.9763755493838812,0.023624450616118856,0,CX,0.25,0.25,0.25,0,0,True,False,0.7550629722921914,0.0
"('L', 'JH')",soldier,CX,0.0,0.9763755493838812,0.023624450616118856,0,CX,0.25,0.25,0.25,0,20,True,False,0.24453400503778333,0.06377158488630535
"('L', 'JH')",soldier,CCX,0.0,0.9763755493838812,0.023624450616118856,0,CX,0.25,0.25,0.25,0,1,True,False,0.0004030226700251889,0.9362284151136946
"('L', 'JH')",soldier,X,0.0,0.9763755493838812,0.023624450616118856,0,CX,0.25,0.25,0.25,0,0,True,False,,
"('N',)",sonic,XC,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,13,True,False,0.7205769230769231,0.0939774983454666
"('N',)",sonic,CX,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,8,True,False,0.27942307692307683,0.9060225016545335
"('N',)",sonic,X,0.21103738610226522,0.7889626138977348,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('L',)",silent,XC,0.31565311098505777,0.6843468890149422,0,0,XC,0.25,0.25,0,0,21,True,False,0.7553674024795888,0.1299650460756276
"('L',)",silent,CX,0.31565311098505777,0.6843468890149422,0,0,XC,0.25,0.25,0,0,0,True,False,0.24463259752041122,0.8700349539243725
"('L',)",silent,X,0.31565311098505777,0.6843468890149422,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('F',)",siphon,XC,0.8871328045101751,0.11286719548982489,0,0,XC,0.25,0.25,0,0,20,True,False,0.9801203243526027,0.1375019688139865
"('F',)",siphon,CX,0.8871328045101751,0.11286719548982489,0,0,XC,0.25,0.25,0,0,1,True,False,0.019879675647397326,0.8624980311860135
"('F',)",siphon,X,0.8871328045101751,0.11286719548982489,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('L', 'T')",shelter,XC,0.0,0.8594441822229003,0.14055581777709963,0,CX,0.25,0.25,0.25,0,0,True,True,0.7512781954887218,0.0
"('L', 'T')",shelter,CX,0.0,0.8594441822229003,0.14055581777709963,0,CX,0.25,0.25,0.25,0,19,True,True,0.2433082706766917,0.119755666291593
"('L', 'T')",shelter,CCX,0.0,0.8594441822229003,0.14055581777709963,0,CX,0.25,0.25,0.25,0,2,True,True,0.005413533834586466,0.8802443337084069
"('L', 'T')",shelter,X,0.0,0.8594441822229003,0.14055581777709963,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('P',)",shepherd,XC,0.8338660131144698,0.16613398688553027,0,0,XC,0.25,0.25,0,0,7,True,True,0.9565994383456726,0.1854826714264465
"('P',)",shepherd,CX,0.8338660131144698,0.16613398688553027,0,0,XC,0.25,0.25,0,0,14,True,True,0.043400561654327284,0.8145173285735534
"('P',)",shepherd,X,0.8338660131144698,0.16613398688553027,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('D',)",sidle,XC,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,16,True,False,0.8771067415730337,0.21693121693121697
"('D',)",sidle,CX,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,5,True,False,0.12289325842696627,0.783068783068783
"('D',)",sidle,X,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('N', 'D')",wonder,XC,0.0,0.7453799281808742,0.25462007181912594,0,CX,0.25,0.25,0.25,0,0,True,True,0.7020140515222483,0.0
"('N', 'D')",wonder,CX,0.0,0.7453799281808742,0.25462007181912594,0,CX,0.25,0.25,0.25,0,19,True,True,0.27222482435597184,0.21693121693121697
"('N', 'D')",wonder,CCX,0.0,0.7453799281808742,0.25462007181912594,0,CX,0.25,0.25,0.25,0,2,True,True,0.02576112412177986,0.783068783068783
"('N', 'D')",wonder,X,0.0,0.7453799281808742,0.25462007181912594,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('S',)",prissy,XC,0.5857147118969894,0.41428528810301046,0,0,XC,0.25,0.25,0,0,13,True,True,0.8349860724233983,0.2183842420782187
"('S',)",prissy,CX,0.5857147118969894,0.41428528810301046,0,0,XC,0.25,0.25,0,0,8,True,True,0.16501392757660163,0.7816157579217813
"('S',)",prissy,X,0.5857147118969894,0.41428528810301046,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('P', 'SH')",slipshod,XC,0.0,1.0,0.0,0,CX,0,1,0,0,1,True,True,0.9565994383456726,0.0
"('P', 'SH')",slipshod,CX,0.0,1.0,0.0,0,CX,0,1,0,0,19,True,True,0.043400561654327284,0.04665738161559889
"('P', 'SH')",slipshod,CCX,0.0,1.0,0.0,0,CX,0,1,0,0,1,True,True,0.0,0.953342618384401
"('P', 'SH')",slipshod,X,0.0,1.0,0.0,0,CX,0,1,0,0,0,True,True,,
"('K', 'W')",equine,XC,0.6026774320473012,0.39732256795269894,0.0,0,XC,0.25,0.25,0.25,0,17,True,False,0.882477626000942,0.01952872821174952
"('K', 'W')",equine,CX,0.6026774320473012,0.39732256795269894,0.0,0,XC,0.25,0.25,0.25,0,4,True,False,0.11752237399905792,0.09667527437056166
"('K', 'W')",equine,CCX,0.6026774320473012,0.39732256795269894,0.0,0,XC,0.25,0.25,0.25,0,0,True,False,0.0,0.8837959974176888
"('K', 'W')",equine,X,0.6026774320473012,0.39732256795269894,0.0,0,XC,0.25,0.25,0.25,0,0,True,False,,
"('T',)",slaughter,XC,0.38148849821433184,0.6185115017856682,0,0,XC,0.25,0.25,0,0,17,True,True,0.8192850114791734,0.119755666291593
"('T',)",slaughter,CX,0.38148849821433184,0.6185115017856682,0,0,XC,0.25,0.25,0,0,4,True,True,0.18071498852082649,0.8802443337084069
"('T',)",slaughter,X,0.38148849821433184,0.6185115017856682,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('D',)",waddle,XC,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,16,True,False,0.8771067415730337,0.21693121693121697
