Word,# of Medial Consonants,# of .C*,# of C.*,# of CC.*,# of CCC.*,# of ?,prop. of .C*,prop. of C.*,prop. of CC.*,prop. of CCC.*,prop. of ?
shampoo,2,0,20,0,0,0,0,1,0,0,0
whitish,1,9,10,0,0,1,0.45,0.5,0,0,0.05
senior,2,2,18,0,0,0,0.1,0.9,0,0,0
connote,1,18,2,0,0,0,0.9,0.1,0,0,0
pantry,3,0,20,0,0,0,0,1,0,0,0
darkling,3,0,4,16,0,0,0,0.2,0.8,0,0
guano,1,13,5,0,0,2,0.65,0.25,0,0,0.1
seizure,1,14,6,0,0,0,0.7,0.3,0,0,0
passage,1,12,8,0,0,0,0.6,0.4,0,0,0
salvo,2,0,19,1,0,0,0,0.95,0.05,0,0
cobble,1,17,3,0,0,0,0.85,0.15,0,0,0
akin,1,19,1,0,0,0,0.95,0.05,0,0,0
guileless,2,0,19,1,0,0,0,0.95,0.05,0,0
deprave,2,20,0,0,0,0,1,0,0,0,0
sincere,2,0,20,0,0,0,0,1,0,0,0
lobar,1,20,0,0,0,0,1,0,0,0,0
atlas,2,1,19,0,0,0,0.05,0.95,0,0,0
sixty,3,0,4,15,1,0,0,0.2,0.75,0.05,0
grapnel,2,1,18,1,0,0,0.05,0.9,0.05,0,0
dictate,2,1,19,0,0,0,0.05,0.95,0,0,0
cistern,2,1,17,2,0,0,0.05,0.85,0.1,0,0
rector,2,1,17,2,0,0,0.05,0.85,0.1,0,0
cuddle,1,15,5,0,0,0,0.75,0.25,0,0,0
gravid,1,12,8,0,0,0,0.6,0.4,0,0,0
pending,2,0,16,4,0,0,0,0.8,0.2,0,0
shimmy,1,11,9,0,0,0,0.55,0.45,0,0,0
backside,2,0,20,0,0,0,0,1,0,0,0
bachelor,2,4,16,0,0,0,0.2,0.8,0,0,0
congest,2,0,20,0,0,0,0,1,0,0,0
hatchet,1,12,8,0,0,0,0.6,0.4,0,0,0
limbless,2,1,19,0,0,0,0.05,0.95,0,0,0
lightface,2,0,20,0,0,0,0,1,0,0,0
havoc,1,12,8,0,0,0,0.6,0.4,0,0,0
mason,1,20,0,0,0,0,1,0,0,0,0
catarrh,1,13,5,0,0,2,0.65,0.25,0,0,0.1
pedlar,2,4,15,0,0,1,0.2,0.75,0,0,0.05
rummage,1,13,7,0,0,0,0.65,0.35,0,0,0
having,1,9,11,0,0,0,0.45,0.55,0,0,0
convex,2,0,20,0,0,0,0,1,0,0,0
handcar,3,0,2,18,0,0,0,0.1,0.9,0,0
handle,2,0,19,1,0,0,0,0.95,0.05,0,0
burnish,2,1,12,7,0,0,0.05,0.6,0.35,0,0
surplus,3,0,20,0,0,0,0,1,0,0,0
passport,2,0,20,0,0,0,0,1,0,0,0
verso,2,0,19,1,0,0,0,0.95,0.05,0,0
limbo,2,0,19,0,0,1,0,0.95,0,0,0.05
awhirl,1,20,0,0,0,0,1,0,0,0,0
bovine,1,20,0,0,0,0,1,0,0,0,0
crevice,1,17,3,0,0,0,0.85,0.15,0,0,0
trousers,1,18,2,0,0,0,0.9,0.1,0,0,0
sandwich,3,0,7,13,0,0,0,0.35,0.65,0,0
gallant,1,12,8,0,0,0,0.6,0.4,0,0,0
gamble,2,0,19,1,0,0,0,0.95,0.05,0,0
lucky,1,17,3,0,0,0,0.85,0.15,0,0,0
stagger,1,14,6,0,0,0,0.7,0.3,0,0,0
pustule,2,4,14,0,0,2,0.2,0.7,0,0,0.1
stifle,1,19,1,0,0,0,0.95,0.05,0,0,0
gambit,2,0,17,3,0,0,0,0.85,0.15,0,0
basis,1,17,3,0,0,0,0.85,0.15,0,0,0
genius,2,5,14,1,0,0,0.25,0.7,0.05,0,0
outright,2,0,20,0,0,0,0,1,0,0,0
staging,1,16,4,0,0,0,0.8,0.2,0,0,0
order,2,0,20,0,0,0,0,1,0,0,0
artist,2,0,16,4,0,0,0,0.8,0.2,0,0
overt,1,17,3,0,0,0,0.85,0.15,0,0,0
stucco,1,11,9,0,0,0,0.55,0.45,0,0,0
lustre,2,8,12,0,0,0,0.4,0.6,0,0,0
proverb,1,20,0,0,0,0,1,0,0,0,0
fuddle,1,14,6,0,0,0,0.7,0.3,0,0,0
nimble,2,2,17,1,0,0,0.1,0.85,0.05,0,0
dropkick,2,0,20,0,0,0,0,1,0,0,0
milieu,2,5,13,1,0,1,0.25,0.65,0.05,0,0.05
primate,1,19,1,0,0,0,0.95,0.05,0,0,0
stocking,1,15,5,0,0,0,0.75,0.25,0,0,0
hogshead,3,1,5,14,0,0,0.05,0.25,0.7,0,0
strongly,2,2,18,0,0,0,0.1,0.9,0,0,0
opus,1,18,2,0,0,0,0.9,0.1,0,0,0
frontal,2,1,17,2,0,0,0.05,0.85,0.1,0,0
glottis,1,16,3,0,0,1,0.8,0.15,0,0,0.05
formless,3,0,2,18,0,0,0,0.1,0.9,0,0
spastic,2,5,14,1,0,0,0.25,0.7,0.05,0,0
dormant,2,0,19,1,0,0,0,0.95,0.05,0,0
snuffle,1,15,5,0,0,0,0.75,0.25,0,0,0
guinea,1,15,4,0,0,1,0.75,0.2,0,0,0.05
ovoid,1,20,0,0,0,0,1,0,0,0,0
fulcrum,3,0,20,0,0,0,0,1,0,0,0
smuggle,1,15,5,0,0,0,0.75,0.25,0,0,0
goatee,1,20,0,0,0,0,1,0,0,0,0
compile,2,0,20,0,0,0,0,1,0,0,0
capstan,3,0,18,1,0,1,0,0.9,0.05,0,0.05
calif,1,14,5,0,0,1,0.7,0.25,0,0,0.05
aside,1,20,0,0,0,0,1,0,0,0,0
spatial,1,19,0,0,0,1,0.95,0,0,0,0.05
squadron,2,16,4,0,0,0,0.8,0.2,0,0,0
cattle,1,16,4,0,0,0,0.8,0.2,0,0,0
dimmer,1,10,10,0,0,0,0.5,0.5,0,0,0
spacious,1,18,2,0,0,0,0.9,0.1,0,0,0
passkey,2,2,18,0,0,0,0.1,0.9,0,0,0
mukluk,2,0,20,0,0,0,0,1,0,0,0
upshot,2,1,19,0,0,0,0.05,0.95,0,0,0
germane,2,0,20,0,0,0,0,1,0,0,0
gesture,2,1,17,2,0,0,0.05,0.85,0.1,0,0
larboard,2,0,19,0,0,1,0,0.95,0,0,0.05
lapel,1,17,3,0,0,0,0.85,0.15,0,0,0
coolie,1,15,5,0,0,0,0.75,0.25,0,0,0
preface,1,17,3,0,0,0,0.85,0.15,0,0,0
infest,2,0,20,0,0,0,0,1,0,0,0
proven,1,14,6,0,0,0,0.7,0.3,0,0,0
colloid,1,12,8,0,0,0,0.6,0.4,0,0,0
mistress,3,1,19,0,0,0,0.05,0.95,0,0,0
conquer,2,0,20,0,0,0,0,1,0,0,0
wedlock,2,3,17,0,0,0,0.15,0.85,0,0,0
adorn,1,20,0,0,0,0,1,0,0,0,0
pizza,2,8,10,2,0,0,0.4,0.5,0.1,0,0
relieve,1,19,1,0,0,0,0.95,0.05,0,0,0
belie,1,18,1,0,0,1,0.9,0.05,0,0,0.05
impact,2,0,20,0,0,0,0,1,0,0,0
impair,2,0,20,0,0,0,0,1,0,0,0
benzene,2,0,20,0,0,0,0,1,0,0,0
icy,1,17,3,0,0,0,0.85,0.15,0,0,0
piebald,1,20,0,0,0,0,1,0,0,0,0
racecourse,2,0,19,1,0,0,0,0.95,0.05,0,0
appal,1,16,2,0,0,2,0.8,0.1,0,0,0.1
senile,1,19,1,0,0,0,0.95,0.05,0,0,0
bravo,1,18,2,0,0,0,0.9,0.1,0,0,0
chatter,1,18,2,0,0,0,0.9,0.1,0,0,0
loathsome,2,2,18,0,0,0,0.1,0.9,0,0,0
pilfer,2,0,20,0,0,0,0,1,0,0,0
poker,1,20,0,0,0,0,1,0,0,0,0
disrobe,2,0,20,0,0,0,0,1,0,0,0
kowtow,1,20,0,0,0,0,1,0,0,0,0
mistrial,3,2,18,0,0,0,0.1,0.9,0,0,0
kapok,1,19,0,0,0,1,0.95,0,0,0,0.05
folly,1,16,4,0,0,0,0.8,0.2,0,0,0
precinct,1,19,1,0,0,0,0.95,0.05,0,0,0
pollen,1,12,8,0,0,0,0.6,0.4,0,0,0
plaintive,2,1,16,3,0,0,0.05,0.8,0.15,0,0
kosher,1,18,2,0,0,0,0.9,0.1,0,0,0
privy,1,13,7,0,0,0,0.65,0.35,0,0,0
knickers,1,14,6,0,0,0,0.7,0.3,0,0,0
comprise,3,0,20,0,0,0,0,1,0,0,0
bleachers,1,16,4,0,0,0,0.8,0.2,0,0,0
stockade,1,14,6,0,0,0,0.7,0.3,0,0,0
poster,2,12,8,0,0,0,0.6,0.4,0,0,0
invert,2,0,20,0,0,0,0,1,0,0,0
account,1,19,1,0,0,0,0.95,0.05,0,0,0
offer,1,13,7,0,0,0,0.65,0.35,0,0,0
either,1,19,1,0,0,0,0.95,0.05,0,0,0
boatman,2,0,20,0,0,0,0,1,0,0,0
bundle,2,0,20,0,0,0,0,1,0,0,0
planet,1,12,8,0,0,0,0.6,0.4,0,0,0
inform,2,0,20,0,0,0,0,1,0,0,0
prefab,1,20,0,0,0,0,1,0,0,0,0
reverse,1,20,0,0,0,0,1,0,0,0,0
barrel,1,8,12,0,0,0,0.4,0.6,0,0,0
legman,2,0,20,0,0,0,0,1,0,0,0
rescind,1,17,3,0,0,0,0.85,0.15,0,0,0
revere,1,16,4,0,0,0,0.8,0.2,0,0,0
compound,2,2,15,3,0,0,0.1,0.75,0.15,0,0
retreat,2,20,0,0,0,0,1,0,0,0,0
scissors,1,12,8,0,0,0,0.6,0.4,0,0,0
basket,2,5,15,0,0,0,0.25,0.75,0,0,0
petite,1,20,0,0,0,0,1,0,0,0,0
resale,1,20,0,0,0,0,1,0,0,0,0
homburg,2,0,19,0,0,1,0,0.95,0,0,0.05
homely,2,0,20,0,0,0,0,1,0,0,0
couchant,1,12,4,0,0,4,0.6,0.2,0,0,0.2
pussy,1,13,7,0,0,0,0.65,0.35,0,0,0
risen,1,11,9,0,0,0,0.55,0.45,0,0,0
cookie,1,15,5,0,0,0,0.75,0.25,0,0,0
recluse,2,19,1,0,0,0,0.95,0.05,0,0,0
ferrous,1,6,13,0,0,1,0.3,0.65,0,0,0.05
robin,1,17,3,0,0,0,0.85,0.15,0,0,0
penguin,3,1,19,0,0,0,0.05,0.95,0,0,0
memoir,2,1,19,0,0,0,0.05,0.95,0,0,0
stubble,1,18,2,0,0,0,0.9,0.1,0,0,0
huddle,1,16,4,0,0,0,0.8,0.2,0,0,0
benign,1,12,8,0,0,0,0.6,0.4,0,0,0
henchman,3,0,3,17,0,0,0,0.15,0.85,0,0
huckster,3,0,16,4,0,0,0,0.8,0.2,0,0
derive,1,15,5,0,0,0,0.75,0.25,0,0,0
burro,1,10,10,0,0,0,0.5,0.5,0,0,0
pikestaff,3,0,18,2,0,0,0,0.9,0.1,0,0
lurid,1,6,14,0,0,0,0.3,0.7,0,0,0
recto,2,1,19,0,0,0,0.05,0.95,0,0,0
rating,1,17,3,0,0,0,0.85,0.15,0,0,0
without,1,7,13,0,0,0,0.35,0.65,0,0,0
liver,1,15,5,0,0,0,0.75,0.25,0,0,0
leeward,1,20,0,0,0,0,1,0,0,0,0
cologne,1,18,2,0,0,0,0.9,0.1,0,0,0
teaspoon,2,19,1,0,0,0,0.95,0.05,0,0,0
reprieve,2,19,0,1,0,0,0.95,0,0.05,0,0
legion,1,13,7,0,0,0,0.65,0.35,0,0,0
flagpole,2,0,20,0,0,0,0,1,0,0,0
wallboard,2,0,20,0,0,0,0,1,0,0,0
pervert,2,0,19,1,0,0,0,0.95,0.05,0,0
couplet,2,6,14,0,0,0,0.3,0.7,0,0,0
mangy,2,1,16,2,0,1,0.05,0.8,0.1,0,0.05
reject,1,20,0,0,0,0,1,0,0,0,0
distinct,2,3,17,0,0,0,0.15,0.85,0,0,0
houses,1,13,7,0,0,0,0.65,0.35,0,0,0
relique,1,9,11,0,0,0,0.45,0.55,0,0,0
advice,2,1,19,0,0,0,0.05,0.95,0,0,0
fishwife,2,1,19,0,0,0,0.05,0.95,0,0,0
wicket,1,10,10,0,0,0,0.5,0.5,0,0,0
massage,1,19,1,0,0,0,0.95,0.05,0,0,0
chateau,1,17,3,0,0,0,0.85,0.15,0,0,0
upland,2,2,18,0,0,0,0.1,0.9,0,0,0
meeting,1,11,8,0,0,1,0.55,0.4,0,0,0.05
campaign,2,0,20,0,0,0,0,1,0,0,0
sherry,1,9,10,0,0,1,0.45,0.5,0,0,0.05
ahead,1,20,0,0,0,0,1,0,0,0,0
prostate,2,15,5,0,0,0,0.75,0.25,0,0,0
twilight,1,19,1,0,0,0,0.95,0.05,0,0,0
crevasse,1,14,6,0,0,0,0.7,0.3,0,0,0
rapid,1,18,2,0,0,0,0.9,0.1,0,0,0
fetter,1,17,3,0,0,0,0.85,0.15,0,0,0
blunder,2,2,16,2,0,0,0.1,0.8,0.1,0,0
surprise,3,3,17,0,0,0,0.15,0.85,0,0,0
ashore,1,19,1,0,0,0,0.95,0.05,0,0,0
navel,1,18,2,0,0,0,0.9,0.1,0,0,0
eighteen,1,14,6,0,0,0,0.7,0.3,0,0,0
chandler,3,1,13,6,0,0,0.05,0.65,0.3,0,0
upside,2,1,19,0,0,0,0.05,0.95,0,0,0
gravy,1,20,0,0,0,0,1,0,0,0,0
succinct,2,4,14,1,0,1,0.2,0.7,0.05,0,0.05
rumble,2,0,18,2,0,0,0,0.9,0.1,0,0
exile,2,2,10,8,0,0,0.1,0.5,0.4,0,0
privet,1,18,2,0,0,0,0.9,0.1,0,0,0
nimbus,2,2,17,0,0,1,0.1,0.85,0,0,0.05
polka,2,0,15,5,0,0,0,0.75,0.25,0,0
wisdom,2,0,20,0,0,0,0,1,0,0,0
moody,1,17,3,0,0,0,0.85,0.15,0,0,0
missing,1,11,9,0,0,0,0.55,0.45,0,0,0
travail,1,16,4,0,0,0,0.8,0.2,0,0,0
tacky,1,16,4,0,0,0,0.8,0.2,0,0,0
camel,1,13,7,0,0,0,0.65,0.35,0,0,0
thicken,1,6,14,0,0,0,0.3,0.7,0,0,0
abut,1,19,0,0,0,1,0.95,0,0,0,0.05
mooring,1,4,16,0,0,0,0.2,0.8,0,0,0
turret,1,8,12,0,0,0,0.4,0.6,0,0,0
era,1,7,13,0,0,0,0.35,0.65,0,0,0
nickel,1,12,8,0,0,0,0.6,0.4,0,0,0
torture,2,0,20,0,0,0,0,1,0,0,0
trolley,1,13,6,0,0,1,0.65,0.3,0,0,0.05
carbine,2,0,19,1,0,0,0,0.95,0.05,0,0
exist,2,0,17,3,0,0,0,0.85,0.15,0,0
trousseau,1,15,4,0,0,1,0.75,0.2,0,0,0.05
attic,1,15,5,0,0,0,0.75,0.25,0,0,0
peter,1,15,4,0,0,1,0.75,0.2,0,0,0.05
excise,2,0,16,3,0,1,0,0.8,0.15,0,0.05
derrick,1,8,12,0,0,0,0.4,0.6,0,0,0
vision,1,16,4,0,0,0,0.8,0.2,0,0,0
goatskin,3,2,17,1,0,0,0.1,0.85,0.05,0,0
kaiser,1,18,2,0,0,0,0.9,0.1,0,0,0
poseur,1,17,2,0,0,1,0.85,0.1,0,0,0.05
virile,1,10,10,0,0,0,0.5,0.5,0,0,0
languid,3,1,18,1,0,0,0.05,0.9,0.05,0,0
snorkel,2,0,17,3,0,0,0,0.85,0.15,0,0
curate,1,6,14,0,0,0,0.3,0.7,0,0,0
envy,2,0,20,0,0,0,0,1,0,0,0
menace,1,10,10,0,0,0,0.5,0.5,0,0,0
robot,1,19,1,0,0,0,0.95,0.05,0,0,0
wallet,1,13,7,0,0,0,0.65,0.35,0,0,0
dolor,1,17,2,0,0,1,0.85,0.1,0,0,0.05
sandman,3,0,1,19,0,0,0,0.05,0.95,0,0
distaste,2,1,18,1,0,0,0.05,0.9,0.05,0,0
mulish,1,14,6,0,0,0,0.7,0.3,0,0,0
curdle,2,0,20,0,0,0,0,1,0,0,0
midland,2,2,18,0,0,0,0.1,0.9,0,0,0
vanish,1,10,10,0,0,0,0.5,0.5,0,0,0
erase,1,17,3,0,0,0,0.85,0.15,0,0,0
milksop,3,0,1,19,0,0,0,0.05,0.95,0,0
advise,2,1,19,0,0,0,0.05,0.95,0,0,0
wedding,1,13,7,0,0,0,0.65,0.35,0,0,0
weakfish,2,1,19,0,0,0,0.05,0.95,0,0,0
valid,1,11,9,0,0,0,0.55,0.45,0,0,0
accost,1,17,3,0,0,0,0.85,0.15,0,0,0
narthex,2,0,17,1,0,2,0,0.85,0.05,0,0.1
mucus,1,20,0,0,0,0,1,0,0,0,0
duchess,1,16,4,0,0,0,0.8,0.2,0,0,0
ratio,1,18,2,0,0,0,0.9,0.1,0,0,0
tipsy,2,1,15,4,0,0,0.05,0.75,0.2,0,0
wahoo,1,20,0,0,0,0,1,0,0,0,0
informed,2,0,20,0,0,0,0,1,0,0,0
versus,2,0,16,4,0,0,0,0.8,0.2,0,0
dilute,1,17,3,0,0,0,0.85,0.15,0,0,0
alarm,1,20,0,0,0,0,1,0,0,0,0
quota,1,20,0,0,0,0,1,0,0,0,0
verbose,2,0,20,0,0,0,0,1,0,0,0
doomsday,3,0,4,16,0,0,0,0.2,0.8,0,0
naval,1,17,3,0,0,0,0.85,0.15,0,0,0
henpeck,2,1,19,0,0,0,0.05,0.95,0,0,0
technic,2,0,20,0,0,0,0,1,0,0,0
manhole,2,0,20,0,0,0,0,1,0,0,0
couple,1,14,6,0,0,0,0.7,0.3,0,0,0
flagon,1,14,6,0,0,0,0.7,0.3,0,0,0
manage,1,10,10,0,0,0,0.5,0.5,0,0,0
offhand,2,0,20,0,0,0,0,1,0,0,0
forty,2,0,20,0,0,0,0,1,0,0,0
echo,1,12,8,0,0,0,0.6,0.4,0,0,0
tattoo,1,19,1,0,0,0,0.95,0.05,0,0,0
attest,1,20,0,0,0,0,1,0,0,0,0
purlieu,3,0,12,2,0,6,0,0.6,0.1,0,0.3
defame,1,19,1,0,0,0,0.95,0.05,0,0,0
therefor,2,0,20,0,0,0,0,1,0,0,0
viscus,2,1,17,1,0,1,0.05,0.85,0.05,0,0.05
forage,1,3,17,0,0,0,0.15,0.85,0,0,0
wrangle,2,1,18,1,0,0,0.05,0.9,0.05,0,0
brazier,1,17,1,0,0,2,0.85,0.05,0,0,0.1
juncture,3,0,4,16,0,0,0,0.2,0.8,0,0
duchy,1,14,4,0,0,2,0.7,0.2,0,0,0.1
nubile,1,19,0,0,0,1,0.95,0,0,0,0.05
wrestle,1,14,6,0,0,0,0.7,0.3,0,0,0
crazy,1,20,0,0,0,0,1,0,0,0,0
ruble,1,16,3,0,0,1,0.8,0.15,0,0,0.05
appeal,1,20,0,0,0,0,1,0,0,0,0
dapple,1,11,9,0,0,0,0.55,0.45,0,0,0
surfeit,2,0,18,1,0,1,0,0.9,0.05,0,0.05
zither,1,10,10,0,0,0,0.5,0.5,0,0,0
tableau,2,12,7,1,0,0,0.6,0.35,0.05,0,0
suffrage,2,8,12,0,0,0,0.4,0.6,0,0,0
ordeal,2,0,20,0,0,0,0,1,0,0,0
intern,2,0,20,0,0,0,0,1,0,0,0
zloty,1,15,2,0,0,3,0.75,0.1,0,0,0.15
trauma,1,19,1,0,0,0,0.95,0.05,0,0,0
footing,1,9,11,0,0,0,0.45,0.55,0,0,0
panther,2,0,18,2,0,0,0,0.9,0.1,0,0
ochre,1,15,4,0,0,1,0.75,0.2,0,0,0.05
tactic,2,0,20,0,0,0,0,1,0,0,0
cobalt,1,20,0,0,0,0,1,0,0,0,0
amiss,1,20,0,0,0,0,1,0,0,0,0
apart,1,20,0,0,0,0,1,0,0,0,0
scoundrel,3,1,19,0,0,0,0.05,0.95,0,0,0
twiddle,1,14,6,0,0,0,0.7,0.3,0,0,0
racial,1,20,0,0,0,0,1,0,0,0,0
sixteen,3,0,3,17,0,0,0,0.15,0.85,0,0
widen,1,16,4,0,0,0,0.8,0.2,0,0,0
topsail,2,0,19,1,0,0,0,0.95,0.05,0,0
fallow,1,14,5,0,0,1,0.7,0.25,0,0,0.05
damage,1,8,12,0,0,0,0.4,0.6,0,0,0
cloven,1,18,2,0,0,0,0.9,0.1,0,0,0
invest,2,0,20,0,0,0,0,1,0,0,0
fanlight,2,1,19,0,0,0,0.05,0.95,0,0,0
farewell,2,0,20,0,0,0,0,1,0,0,0
tiptoe,2,0,20,0,0,0,0,1,0,0,0
forward,2,0,20,0,0,0,0,1,0,0,0
nougat,1,17,3,0,0,0,0.85,0.15,0,0,0
wormwood,3,1,0,19,0,0,0.05,0,0.95,0,0
within,1,4,16,0,0,0,0.2,0.8,0,0,0
vanguard,2,1,19,0,0,0,0.05,0.95,0,0,0
monkey,2,2,16,2,0,0,0.1,0.8,0.1,0,0
citron,2,13,6,0,0,1,0.65,0.3,0,0,0.05
marry,1,10,10,0,0,0,0.5,0.5,0,0,0
transport,3,0,7,12,0,1,0,0.35,0.6,0,0.05
total,1,20,0,0,0,0,1,0,0,0,0
cinder,2,0,18,1,0,1,0,0.9,0.05,0,0.05
zealot,1,11,9,0,0,0,0.55,0.45,0,0,0
deface,1,18,2,0,0,0,0.9,0.1,0,0,0
postcard,3,0,3,17,0,0,0,0.15,0.85,0,0
carbon,2,0,19,1,0,0,0,0.95,0.05,0,0
collard,1,11,9,0,0,0,0.55,0.45,0,0,0
ammo,1,12,7,0,0,1,0.6,0.35,0,0,0.05
amass,1,20,0,0,0,0,1,0,0,0,0
scenic,1,15,5,0,0,0,0.75,0.25,0,0,0
pancake,2,0,20,0,0,0,0,1,0,0,0
fetlock,2,1,19,0,0,0,0.05,0.95,0,0,0
nubbin,1,16,4,0,0,0,0.8,0.2,0,0,0
thicket,1,8,12,0,0,0,0.4,0.6,0,0,0
cattail,2,2,18,0,0,0,0.1,0.9,0,0,0
suffix,1,9,11,0,0,0,0.45,0.55,0,0,0
declare,2,19,1,0,0,0,0.95,0.05,0,0,0
tinker,2,1,15,4,0,0,0.05,0.75,0.2,0,0
halter,2,0,19,1,0,0,0,0.95,0.05,0,0
mislike,2,1,20,0,0,0,0.047619048,0.952380952,0,0,0
tinsel,2,0,19,2,0,0,0,0.904761905,0.095238095,0,0
lanyard,2,1,20,0,0,0,0.047619048,0.952380952,0,0,0
mister,2,2,18,1,0,0,0.095238095,0.857142857,0.047619048,0,0
vicar,1,13,8,0,0,0,0.619047619,0.380952381,0,0,0
launder,2,0,20,1,0,0,0,0.952380952,0.047619048,0,0
landed,2,0,17,4,0,0,0,0.80952381,0.19047619,0,0
ladle,1,16,5,0,0,0,0.761904762,0.238095238,0,0,0
minster,3,1,17,1,2,0,0.047619048,0.80952381,0.047619048,0.095238095,0
mildew,2,0,20,1,0,0,0,0.952380952,0.047619048,0,0
image,1,14,7,0,0,0,0.666666667,0.333333333,0,0,0
gooseflesh,3,0,21,0,0,0,0,1,0,0,0
straddle,1,11,10,0,0,0,0.523809524,0.476190476,0,0,0
approve,2,16,5,0,0,0,0.761904762,0.238095238,0,0,0
lantern,2,0,20,1,0,0,0,0.952380952,0.047619048,0,0
lampoon,2,0,21,0,0,0,0,1,0,0,0
mistake,2,8,12,1,0,0,0.380952381,0.571428571,0.047619048,0,0
exempt,2,0,12,9,0,0,0,0.571428571,0.428571429,0,0
milepost,2,0,21,0,0,0,0,1,0,0,0
listen,1,12,9,0,0,0,0.571428571,0.428571429,0,0,0
loathly,2,4,16,1,0,0,0.19047619,0.761904762,0.047619048,0,0
marine,1,21,0,0,0,0,1,0,0,0,0
loathing,1,16,5,0,0,0,0.761904762,0.238095238,0,0,0
liqueur,1,13,7,0,0,1,0.619047619,0.333333333,0,0,0.047619048
vulture,2,0,17,4,0,0,0,0.80952381,0.19047619,0,0
lofty,2,0,19,2,0,0,0,0.904761905,0.095238095,0,0
inveigh,2,0,21,0,0,0,0,1,0,0,0
pansy,2,0,19,2,0,0,0,0.904761905,0.095238095,0,0
sumac,1,18,3,0,0,0,0.857142857,0.142857143,0,0,0
lineup,1,4,17,0,0,0,0.19047619,0.80952381,0,0,0
circlet,3,0,18,3,0,0,0,0.857142857,0.142857143,0,0
nightly,2,0,21,0,0,0,0,1,0,0,0
marlin,2,0,20,1,0,0,0,0.952380952,0.047619048,0,0
doodle,1,20,1,0,0,0,0.952380952,0.047619048,0,0,0
calyx,1,9,10,0,0,2,0.428571429,0.476190476,0,0,0.095238095
major,1,19,2,0,0,0,0.904761905,0.095238095,0,0,0
lumber,2,0,20,1,0,0,0,0.952380952,0.047619048,0,0
mallow,1,14,7,0,0,0,0.666666667,0.333333333,0,0,0
justice,2,4,17,0,0,0,0.19047619,0.80952381,0,0,0
poniard,2,7,12,1,0,1,0.333333333,0.571428571,0.047619048,0,0.047619048
lunette,1,13,8,0,0,0,0.619047619,0.380952381,0,0,0
lummox,1,12,9,0,0,0,0.571428571,0.428571429,0,0,0
maestro,3,12,8,1,0,0,0.571428571,0.380952381,0.047619048,0,0
lorgnette,3,0,9,9,1,2,0,0.428571429,0.428571429,0.047619048,0.095238095
rebuke,2,20,1,0,0,0,0.952380952,0.047619048,0,0,0
ascent,1,20,1,0,0,0,0.952380952,0.047619048,0,0,0
bludgeon,1,18,3,0,0,0,0.857142857,0.142857143,0,0,0
genus,1,16,5,0,0,0,0.761904762,0.238095238,0,0,0
mango,2,1,19,1,0,0,0.047619048,0.904761905,0.047619048,0,0
mangrove,3,0,19,2,0,0,0,0.904761905,0.095238095,0,0
subsoil,2,1,20,0,0,0,0.047619048,0.952380952,0,0,0
methane,1,11,10,0,0,0,0.523809524,0.476190476,0,0,0
legend,1,18,3,0,0,0,0.857142857,0.142857143,0,0,0
leafless,2,1,19,1,0,0,0.047619048,0.904761905,0.047619048,0,0
lessor,1,11,10,0,0,0,0.523809524,0.476190476,0,0,0
lesson,1,13,8,0,0,0,0.619047619,0.380952381,0,0,0
ramble,2,2,17,2,0,0,0.095238095,0.80952381,0.095238095,0,0
membrane,3,0,19,2,0,0,0,0.904761905,0.095238095,0,0
fustian,2,3,12,2,0,4,0.142857143,0.571428571,0.095238095,0,0.19047619
tackle,1,12,9,0,0,0,0.571428571,0.428571429,0,0,0
laurel,1,10,11,0,0,0,0.476190476,0.523809524,0,0,0
embark,2,0,20,1,0,0,0,0.952380952,0.047619048,0,0
legate,1,18,3,0,0,0,0.857142857,0.142857143,0,0,0
metro,2,14,7,0,0,0,0.666666667,0.333333333,0,0,0
leather,1,17,4,0,0,0,0.80952381,0.19047619,0,0,0
likeness,2,1,20,0,0,0,0.047619048,0.952380952,0,0,0
monstrous,4,1,18,2,0,0,0.047619048,0.857142857,0.095238095,0,0
motile,1,20,1,0,0,0,0.952380952,0.047619048,0,0,0
gasworks,2,2,19,0,0,0,0.095238095,0.904761905,0,0,0
mature,1,20,1,0,0,0,0.952380952,0.047619048,0,0,0
coarsen,2,1,17,3,0,0,0.047619048,0.80952381,0.142857143,0,0
marvel,2,0,19,2,0,0,0,0.904761905,0.095238095,0,0
mascot,2,4,16,1,0,0,0.19047619,0.761904762,0.047619048,0,0
lever,1,15,6,0,0,0,0.714285714,0.285714286,0,0,0
dishrag,2,1,20,0,0,0,0.047619048,0.952380952,0,0,0
member,2,0,21,0,0,0,0,1,0,0,0
mayhem,1,21,0,0,0,0,1,0,0,0,0
hairline,2,0,21,0,0,0,0,1,0,0,0
traction,2,0,21,0,0,0,0,1,0,0,0
conjure,2,0,21,0,0,0,0,1,0,0,0
fetid,1,20,1,0,0,0,0.952380952,0.047619048,0,0,0
fetish,1,14,7,0,0,0,0.666666667,0.333333333,0,0,0
yonder,2,2,19,0,0,0,0.095238095,0.904761905,0,0,0
fathom,1,14,6,0,0,1,0.666666667,0.285714286,0,0,0.047619048
saddle,1,13,8,0,0,0,0.619047619,0.380952381,0,0,0
felon,1,14,7,0,0,0,0.666666667,0.333333333,0,0,0
hemstitch,3,0,21,0,0,0,0,1,0,0,0
flabby,1,20,1,0,0,0,0.952380952,0.047619048,0,0,0
