Word,# of Medial Consonants,# of .C*,# of C.*,# of CC.*,# of CCC.*,# of ?,prop. of .C*,prop. of C.*,prop. of CC.*,prop. of CCC.*,prop. of ?
adage,1,11,11,0,0,0,0.5,0.5,0,0,0
hiding,1,13,9,0,0,0,0.590909091,0.409090909,0,0,0
hipster,3,1,17,4,0,0,0.045454545,0.772727273,0.181818182,0,0
hillock,1,6,16,0,0,0,0.272727273,0.727272727,0,0,0
dogtrot,3,0,22,0,0,0,0,1,0,0,0
cubic,1,22,0,0,0,0,1,0,0,0,0
dollop,1,12,9,0,0,1,0.545454545,0.409090909,0,0,0.045454545
mainsail,2,0,22,0,0,0,0,1,0,0,0
mottle,1,16,6,0,0,0,0.727272727,0.272727273,0,0,0
kindling,3,0,11,10,1,0,0,0.5,0.454545455,0.045454545,0
district,3,4,16,2,0,0,0.181818182,0.727272727,0.090909091,0,0
dastard,2,8,10,4,0,0,0.363636364,0.454545455,0.181818182,0,0
dodder,1,19,2,0,0,1,0.863636364,0.090909091,0,0,0.045454545
cruiser,1,16,6,0,0,0,0.727272727,0.272727273,0,0,0
dormouse,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
inlet,2,0,22,0,0,0,0,1,0,0,0
sequin,2,22,0,0,0,0,1,0,0,0,0
dorsal,2,0,19,3,0,0,0,0.863636364,0.136363636,0,0
marrow,1,5,17,0,0,0,0.227272727,0.772727273,0,0,0
dolphin,2,1,20,1,0,0,0.045454545,0.909090909,0.045454545,0,0
dolmen,2,1,20,1,0,0,0.045454545,0.909090909,0.045454545,0,0
township,2,0,22,0,0,0,0,1,0,0,0
domain,1,22,0,0,0,0,1,0,0,0,0
wiggle,1,15,6,0,0,1,0.681818182,0.272727273,0,0,0.045454545
cushion,1,15,7,0,0,0,0.681818182,0.318181818,0,0,0
seismic,2,3,19,0,0,0,0.136363636,0.863636364,0,0,0
cuisine,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
phenol,1,15,6,0,0,1,0.681818182,0.272727273,0,0,0.045454545
pixy,2,6,11,5,0,0,0.272727273,0.5,0.227272727,0,0
warrant,1,3,18,0,0,1,0.136363636,0.818181818,0,0,0.045454545
dissect,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
dispute,3,3,18,1,0,0,0.136363636,0.818181818,0.045454545,0,0
dockhand,2,4,18,0,0,0,0.181818182,0.818181818,0,0,0
gusset,1,13,8,0,0,1,0.590909091,0.363636364,0,0,0.045454545
divers,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
docket,1,15,7,0,0,0,0.681818182,0.318181818,0,0,0
divulge,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
ocean,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
conscript,4,0,22,0,0,0,0,1,0,0,0
cuckoo,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
diva,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
descent,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
whetstone,3,0,21,1,0,0,0,0.954545455,0.045454545,0,0
dumbbell,2,2,20,0,0,0,0.090909091,0.909090909,0,0,0
themselves,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
duress,1,10,12,0,0,0,0.454545455,0.545454545,0,0,0
guitar,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
duly,1,20,2,0,0,0,0.909090909,0.090909091,0,0,0
canoe,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
