Cluster,Syllabification,Prop Responses,Prediction,Difference,
,,,,,
M P,,,,,
,.P L,0.504504292,0.799965571,-0.295461278,
,,,,0,
,P.L,0.489738705,0.200034429,0.289704276,
,,,,0,
,P L.,0.005757003,0,0.005757003,
,,,,0,
,?.?,0,,0,
,,,,0,
S P,,,,0,
,,,,0,
,.S P,0.367029663,0.389120107,-0.022090444,
,,,,0,
,S.P,0.606167062,0.589154387,0.017012675,
,,,,0,
,S P.,0.023245963,0.021725506,0.001520456,
,,,,0,
,?.?,0.003557312,,0.003557312,
,,,,0,
M B,,,,0,
,,,,0,
,.M B,0.024965605,0,0.024965605,
,,,,0,
,M.B,0.942878317,1,-0.057121683,
,,,,0,
,M B.,0.027502398,0,0.027502398,
,,,,0,
,?.?,0.00465368,,0.00465368,
,,,,0,
Z,,,,0,
,,,,0,
,.Z,0.778412924,0.150292046,0.628120879,
,,,,0,
,Z.,0.218802469,0.849707954,-0.630905485,
,,,,0,
,?.?,0.002784607,,0.002784607,
,,,,0,
N D W,,,,0,
,,,,0,
,.N D W,0.023809524,0,0.023809524,
,,,,0,
,N.D W,0.222619048,0.162297238,0.060321809,
,,,,0,
,N D.W,0.753571429,0.837702762,-0.084131333,
,,,,0,
,N D W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
L,,,,0,
,,,,0,
,.L,0.637775859,0.278239758,0.359536101,
,,,,0,
,L.,0.355341803,0.721760242,-0.366418439,
,,,,0,
,?.?,0.006882338,,0.006882338,
,,,,0,
G,,,,0,
,,,,0,
,.G,0.748879517,0.769879261,-0.020999744,
,,,,0,
,G.,0.24548866,0.230120739,0.015367921,
,,,,0,
,?.?,0.005631823,,0.005631823,
,,,,0,
F,,,,0,
,,,,0,
,.F,0.813651526,0.854141838,-0.040490312,
,,,,0,
,F.,0.182865125,0.145858162,0.037006963,
,,,,0,
,?.?,0.003483349,,0.003483349,
,,,,0,
T R,,,,0,
,,,,0,
,.T R,0.771883291,0.416968541,0.35491475,
,,,,0,
,T.R,0.214400178,0.583031459,-0.368631281,
,,,,0,
,T R.,0.005130672,0,0.005130672,
,,,,0,
,?.?,0.008585859,,0.008585859,
,,,,0,
JH,,,,0,
,,,,0,
,.JH,0.688436544,0.592288428,0.096148116,
,,,,0,
,JH.,0.305115937,0.407711572,-0.102595635,
,,,,0,
,?.?,0.006447519,,0.006447519,
,,,,0,
R D,,,,0,
,,,,0,
,.R D,0.014978565,0,0.014978565,
,,,,0,
,R.D,0.880304917,0.662737112,0.217567805,
,,,,0,
,R D.,0.099653784,0.337262888,-0.237609103,
,,,,0,
,?.?,0.005062734,,0.005062734,
,,,,0,
R T,,,,0,
,,,,0,
,.R T,0.006148441,0,0.006148441,
,,,,0,
,R.T,0.910404877,0.479502777,0.4309021,
,,,,0,
,R T.,0.080801179,0.520497223,-0.439696044,
,,,,0,
,?.?,0.002645503,,0.002645503,
,,,,0,
L Y,,,,0,
,,,,0,
,.L Y,0.114630388,0,0.114630388,
,,,,0,
,L.Y,0.800825805,1,-0.199174195,
,,,,0,
,L Y.,0.065705973,0,0.065705973,
,,,,0,
,?.?,0.018837835,,0.018837835,
,,,,0,
NG L,,,,0,
,,,,0,
,.NG L,0.095454546,0,0.095454546,
,,,,0,
,NG.L,0.881818182,1,-0.118181818,
,,,,0,
,NG L.,0.022727273,0,0.022727273,
,,,,0,
,?.?,0,,0,
,,,,0,
P,,,,0,
,,,,0,
,.P,0.768403587,0.850143938,-0.081740352,
,,,,0,
,P.,0.229162209,0.149856062,0.079306147,
,,,,0,
,?.?,0.002434205,,0.002434205,
,,,,0,
N T,,,,0,
,,,,0,
,.N T,0.029475477,0,0.029475477,
,,,,0,
,N.T,0.909321917,0.383393932,0.525927985,
,,,,0,
,N T.,0.057822776,0.616606068,-0.558783292,
,,,,0,
,?.?,0.00337983,,0.00337983,
,,,,0,
R M,,,,0,
,,,,0,
,.R M,0.006840985,0,0.006840985,
,,,,0,
,R.M,0.927135908,0.7875296,0.139606308,
,,,,0,
,R M.,0.062526604,0.2124704,-0.149943796,
,,,,0,
,?.?,0.003496503,,0.003496503,
,,,,0,
L K R,,,,0,
,,,,0,
,.L K R,0,0,0,
,,,,0,
,L.K R,1,0.963728409,0.036271591,
,,,,0,
,L K.R,0,0.036271591,-0.036271591,
,,,,0,
,L K R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
P S T,,,,0,
,,,,0,
,.P S T,0.015151515,0,0.015151515,
,,,,0,
,P.S T,0.900329381,0.826900585,0.073428796,
,,,,0,
,P S.T,0.076185771,0.173099415,-0.096913644,
,,,,0,
,P S T.,0,0,0,
,,,,0,
,?.?,0.008333333,,0.008333333,
,,,,0,
SH,,,,0,
,,,,0,
,.SH,0.774986769,0.545965487,0.229021282,
,,,,0,
,SH.,0.2212728,0.454034513,-0.232761712,
,,,,0,
,?.?,0.003740431,,0.003740431,
,,,,0,
D R,,,,0,
,,,,0,
,.D R,0.761881959,0.297579921,0.464302038,
,,,,0,
,D.R,0.211148344,0.702420079,-0.491271735,
,,,,0,
,D R.,0.026969697,0,0.026969697,
,,,,0,
,?.?,0,,0,
,,,,0,
K L,,,,0,
,,,,0,
,.K L,0.563108458,0.547579325,0.015529133,
,,,,0,
,K.L,0.430492144,0.452420675,-0.021928531,
,,,,0,
,K L.,0.006399398,0,0.006399398,
,,,,0,
,?.?,0,,0,
,,,,0,
P SH,,,,0,
,,,,0,
,.P SH,0.037705628,0,0.037705628,
,,,,0,
,P.SH,0.943679654,1,-0.056320346,
,,,,0,
,P SH.,0.018614719,0,0.018614719,
,,,,0,
,?.?,0,,0,
,,,,0,
S CH,,,,0,
,,,,0,
,.S CH,0.193478261,0,0.193478261,
,,,,0,
,S.CH,0.715443252,1,-0.284556748,
,,,,0,
,S CH.,0.058610954,0,0.058610954,
,,,,0,
,?.?,0.032467532,,0.032467532,
,,,,0,
N F,,,,0,
,,,,0,
,.N F,0.01129329,0,0.01129329,
,,,,0,
,N.F,0.985865801,1,-0.014134199,
,,,,0,
,N F.,0,0,0,
,,,,0,
,?.?,0.002840909,,0.002840909,
,,,,0,
S T R,,,,0,
,,,,0,
,.S T R,0.454282445,0.321885936,0.132396509,
,,,,0,
,S.T R,0.485631569,0.222433356,0.263198213,
,,,,0,
,S T.R,0.057693641,0.455680708,-0.397987067,
,,,,0,
,S T R.,0.002392344,0,0.002392344,
,,,,0,
,?.?,0,,0,
,,,,0,
NG K,,,,0,
,,,,0,
,.NG K,0.048277592,0,0.048277592,
,,,,0,
,NG.K,0.7653469,0.389066104,0.376280795,
,,,,0,
,NG K.,0.182955016,0.610933896,-0.42797888,
,,,,0,
,?.?,0.003420493,,0.003420493,
,,,,0,
D L,,,,0,
,,,,0,
,.D L,0.133761528,0,0.133761528,
,,,,0,
,D.L,0.853178524,1,-0.146821476,
,,,,0,
,D L.,0.008514493,0,0.008514493,
,,,,0,
,?.?,0.004545455,,0.004545455,
,,,,0,
T S,,,,0,
,,,,0,
,.T S,0.185601355,0,0.185601355,
,,,,0,
,T.S,0.741953699,0.997522948,-0.255569249,
,,,,0,
,T S.,0.072444946,0.002477052,0.069967894,
,,,,0,
,?.?,0,,0,
,,,,0,
N Z,,,,0,
,,,,0,
,.N Z,0.03030303,0,0.03030303,
,,,,0,
,N.Z,0.884559885,0.806957886,0.077601998,
,,,,0,
,N Z.,0.085137085,0.193042114,-0.107905029,
,,,,0,
,?.?,0,,0,
,,,,0,
DH S,,,,0,
,,,,0,
,.DH S,0.1,0,0.1,
,,,,0,
,DH.S,0.9,1,-0.1,
,,,,0,
,DH S.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
L F,,,,0,
,,,,0,
,.L F,0.022253788,0,0.022253788,
,,,,0,
,L.F,0.927597991,0.966331625,-0.038733634,
,,,,0,
,L F.,0.038784585,0.033668375,0.00511621,
,,,,0,
,?.?,0.011363636,,0.011363636,
,,,,0,
M P R,,,,0,
,,,,0,
,.M P R,0.010869565,0,0.010869565,
,,,,0,
,M.P R,0.934782609,0.839838635,0.094943974,
,,,,0,
,M P.R,0.054347826,0.160161365,-0.105813539,
,,,,0,
,M P R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
DH,,,,0,
,,,,0,
,.DH,0.709383997,0.557394746,0.151989251,
,,,,0,
,DH.,0.284587504,0.442605254,-0.158017749,
,,,,0,
,?.?,0.006028498,,0.006028498,
,,,,0,
T M,,,,0,
,,,,0,
,.T M,0.033643892,0,0.033643892,
,,,,0,
,T.M,0.954451346,1,-0.045548654,
,,,,0,
,T M.,0.011904762,0,0.011904762,
,,,,0,
,?.?,0,,0,
,,,,0,
R,,,,0,
,,,,0,
,.R,0.375587741,0.800227194,-0.424639453,
,,,,0,
,R.,0.617435682,0.199772806,0.417662876,
,,,,0,
,?.?,0.006976577,,0.006976577,
,,,,0,
S K,,,,0,
,,,,0,
,.S K,0.222922379,0.253127291,-0.030204912,
,,,,0,
,S.K,0.700915227,0.689444587,0.01147064,
,,,,0,
,S K.,0.066638585,0.057428123,0.009210462,
,,,,0,
,?.?,0.00952381,,0.00952381,
,,,,0,
NG G W,,,,0,
,,,,0,
,.NG G W,0.027272727,0,0.027272727,
,,,,0,
,NG.G W,0.845844156,1,-0.154155844,
,,,,0,
,NG G.W,0.12038961,0,0.12038961,
,,,,0,
,NG G W.,0,0,0,
,,,,0,
,?.?,0.006493506,,0.006493506,
,,,,0,
M W,,,,0,
,,,,0,
,.M W,0.05,0,0.05,
,,,,0,
,M.W,0.475,1,-0.525,
,,,,0,
,M W.,0.475,0,0.475,
,,,,0,
,?.?,0,,0,
,,,,0,
N CH M,,,,0,
,,,,0,
,.N CH M,0,0,0,
,,,,0,
,N.CH M,0.15,0,0.15,
,,,,0,
,N CH.M,0.85,1,-0.15,
,,,,0,
,N CH M.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
TH,,,,0,
,,,,0,
,.TH,0.592975363,0.554167412,0.038807951,
,,,,0,
,TH.,0.404418405,0.445832588,-0.041414183,
,,,,0,
,?.?,0.002606232,,0.002606232,
,,,,0,
W,,,,0,
,,,,0,
,.W,0.977931489,1,-0.022068511,
,,,,0,
,W.,0.018445323,0,0.018445323,
,,,,0,
,?.?,0.003623188,,0.003623188,
,,,,0,
G P,,,,0,
,,,,0,
,.G P,0,0,0,
,,,,0,
,G.P,1,1,0,
,,,,0,
,G P.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
L B,,,,0,
,,,,0,
,.L B,0.007575757,0,0.007575757,
,,,,0,
,L.B,0.979090909,0.997198403,-0.018107494,
,,,,0,
,L B.,0.006666667,0.002801597,0.00386507,
,,,,0,
,?.?,0.006666667,,0.006666667,
,,,,0,
D V,,,,0,
,,,,0,
,.D V,0.048412698,0,0.048412698,
,,,,0,
,D.V,0.927777778,1,-0.072222222,
,,,,0,
,D V.,0.023809524,0,0.023809524,
,,,,0,
,?.?,0,,0,
,,,,0,
HH,,,,0,
,,,,0,
,.HH,0.918972332,1,-0.081027668,
,,,,0,
,HH.,0.081027668,0,0.081027668,
,,,,0,
,?.?,0,,0,
,,,,0,
N D L,,,,0,
,,,,0,
,.N D L,0.017637164,0,0.017637164,
,,,,0,
,N.D L,0.307181677,0,0.307181677,
,,,,0,
,N D.L,0.651642199,1,-0.348357802,
,,,,0,
,N D L.,0.023538961,0,0.023538961,
,,,,0,
,?.?,0,,0,
,,,,0,
P S,,,,0,
,,,,0,
,.P S,0.072895257,0,0.072895257,
,,,,0,
,P.S,0.862472709,0.797029703,0.065443006,
,,,,0,
,P S.,0.058679654,0.202970297,-0.144290643,
,,,,0,
,?.?,0.005952381,,0.005952381,
,,,,0,
G Z,,,,0,
,,,,0,
,.G Z,0.059307359,0,0.059307359,
,,,,0,
,G.Z,0.653869048,1,-0.346130952,
,,,,0,
,G Z.,0.286823593,0,0.286823593,
,,,,0,
,?.?,0,,0,
,,,,0,
L K,,,,0,
,,,,0,
,.L K,0,0,0,
,,,,0,
,L.K,0.836709486,0.984911891,-0.148202405,
,,,,0,
,L K.,0.163290514,0.015088109,0.148202405,
,,,,0,
,?.?,0,,0,
,,,,0,
Z D,,,,0,
,,,,0,
,.Z D,0,0,0,
,,,,0,
,Z.D,1,1,0,
,,,,0,
,Z D.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R CH,,,,0,
,,,,0,
,.R CH,0.023809524,0,0.023809524,
,,,,0,
,R.CH,0.666666667,0.554681277,0.111985389,
,,,,0,
,R CH.,0.30952381,0.445318723,-0.135794913,
,,,,0,
,?.?,0,,0,
,,,,0,
R B,,,,0,
,,,,0,
,.R B,0.018326118,0,0.018326118,
,,,,0,
,R.B,0.950716168,0.92787503,0.022841138,
,,,,0,
,R B.,0.024897108,0.07212497,-0.047227862,
,,,,0,
,?.?,0.006060606,,0.006060606,
,,,,0,
R K,,,,0,
