Cluster,Syllabification,Prop Responses,Prediction,Difference,
,,,,,
M P,,,,,
K SH,,,,0,
,,,,0,
,.K SH,0.096216827,0,0.096216827,
,,,,0,
,K.SH,0.889911538,1,-0.110088462,
,,,,0,
,K SH.,0.013871636,0,0.013871636,
,,,,0,
,?.?,0,,0,
,,,,0,
K S P R,,,,0,
,,,,0,
,.K S P R,0.047619048,0,0.047619048,
,,,,0,
,K.S P R,0.380952381,0.216522994,0.164429387,
,,,,0,
,K S.P R,0.523809523,0.783477006,-0.259667482,
,,,,0,
,K S P.R,0.047619048,0,0.047619048,
,,,,0,
,?.?,0,,0,
,,,,0,
L S T,,,,0,
,,,,0,
,.L S T,0,0,0,
,,,,0,
,L.S T,0.954545455,0.989968524,-0.035423069,
,,,,0,
,L S.T,0.022727273,0.010031476,0.012695797,
,,,,0,
,L S T.,0,0,0,
,,,,0,
,?.?,0.022727273,,0.022727273,
,,,,0,
R T R,,,,0,
,,,,0,
,.R T R,0,0,0,
,,,,0,
,R.T R,0.909686931,0.559236441,0.350450491,
,,,,0,
,R T.R,0.090313069,0.440763559,-0.350450491,
,,,,0,
,R T R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
K S T R,,,,0,
,,,,0,
,.K S T R,0.010869565,0,0.010869565,
,,,,0,
,K.S T R,0.408879164,0.686944042,-0.278064878,
,,,,0,
,K S.T R,0.510940147,0.242526893,0.268413254,
,,,,0,
,K S T.R,0.057406362,0.070529065,-0.013122703,
,,,,0,
,?.?,0.011904762,,0.011904762,
,,,,0,
G M,,,,0,
,,,,0,
,.G M,0.050444925,0,0.050444925,
,,,,0,
,G.M,0.944925445,1,-0.055074555,
,,,,0,
,G M.,0,0,0,
,,,,0,
,?.?,0.00462963,,0.00462963,
,,,,0,
G R,,,,0,
,,,,0,
,.G R,0.887514901,0.857618552,0.029896348,
,,,,0,
,G.R,0.112485099,0.142381448,-0.029896348,
,,,,0,
,G R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
K R,,,,0,
,,,,0,
,.K R,0.88942645,0.474339539,0.41508691,
,,,,0,
,K.R,0.11057355,0.525660461,-0.41508691,
,,,,0,
,K R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
K W,,,,0,
,,,,0,
,.K W,0.733290462,0.652400778,0.080889683,
,,,,0,
,K.W,0.213010017,0.347599222,-0.134589205,
,,,,0,
,K W.,0.053699521,0,0.053699521,
,,,,0,
,?.?,0,,0,
,,,,0,
G N,,,,0,
,,,,0,
,.G N,0.076510446,0,0.076510446,
,,,,0,
,G.N,0.923489554,1,-0.076510446,
,,,,0,
,G N.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
M S,,,,0,
,,,,0,
,.M S,0.027310371,0,0.027310371,
,,,,0,
,M.S,0.935422548,1,-0.064577452,
,,,,0,
,M S.,0.037267081,0,0.037267081,
,,,,0,
,?.?,0,,0,
,,,,0,
P S K,,,,0,
,,,,0,
,.P S K,0.023809524,0,0.023809524,
,,,,0,
,P.S K,0.952380952,0.496778263,0.455602689,
,,,,0,
,P S.K,0.023809524,0.503221737,-0.479412213,
,,,,0,
,P S K.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
V R,,,,0,
,,,,0,
,.V R,0.809523809,0,0.809523809,
,,,,0,
,V.R,0.142857143,1,-0.857142857,
,,,,0,
,V R.,0,0,0,
,,,,0,
,?.?,0.047619048,,0.047619048,
,,,,0,
G W,,,,0,
,,,,0,
,.G W,0.333333333,0.455106358,-0.121773025,
,,,,0,
,G.W,0.666666667,0.544893642,0.121773025,
,,,,0,
,G W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
K B,,,,0,
,,,,0,
,.K B,0,0,0,
,,,,0,
,K.B,1,1,0,
,,,,0,
,K B.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N F L,,,,0,
,,,,0,
,.N F L,0.007936508,0,0.007936508,
,,,,0,
,N.F L,0.96930485,1,-0.03069515,
,,,,0,
,N F.L,0.022758642,0,0.022758642,
,,,,0,
,N F L.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N K W,,,,0,
,,,,0,
,.N K W,0,0,0,
,,,,0,
,N.K W,0.952380953,1,-0.047619048,
,,,,0,
,N K.W,0.047619048,0,0.047619048,
,,,,0,
,N K W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N L,,,,0,
,,,,0,
,.N L,0.025127047,0,0.025127047,
,,,,0,
,N.L,0.968070232,1,-0.031929768,
,,,,0,
,N L.,0.006802721,0,0.006802721,
,,,,0,
,?.?,0,,0,
,,,,0,
V Y,,,,0,
,,,,0,
,.V Y,0.621870883,0.134906811,0.486964072,
,,,,0,
,V.Y,0.378129117,0.865093189,-0.486964072,
,,,,0,
,V Y.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N D S T,,,,0,
,,,,0,
,.N D S T,0,0,0,
,,,,0,
,N.D S T,0.090909091,0,0.090909091,
,,,,0,
,N D.S T,0.837662338,1,-0.162337663,
,,,,0,
,N D S.T,0.047619048,0,0.047619048,
,,,,0,
,?.?,0.023809524,,0.023809524,
,,,,0,
N T L,,,,0,
,,,,0,
,.N T L,0,0,0,
,,,,0,
,N.T L,0.19047619,0,0.19047619,
,,,,0,
,N T.L,0.80952381,1,-0.19047619,
,,,,0,
,N T L.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R N,,,,0,
,,,,0,
,.R N,0.017636364,0,0.017636364,
,,,,0,
,R.N,0.808467533,0.614330304,0.194137229,
,,,,0,
,R N.,0.173896104,0.385669696,-0.211773592,
,,,,0,
,?.?,0,,0,
,,,,0,
L P,,,,0,
,,,,0,
,.L P,0.015873016,0,0.015873016,
,,,,0,
,L.P,0.924838446,0.987819424,-0.062980977,
,,,,0,
,L P.,0.059288538,0.012180576,0.047107961,
,,,,0,
,?.?,0,,0,
,,,,0,
D W,,,,0,
,,,,0,
,.D W,0.054978355,0.062514293,-0.007535938,
,,,,0,
,D.W,0.945021645,0.937485707,0.007535938,
,,,,0,
,D W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
M D,,,,0,
,,,,0,
,.M D,0,0,0,
,,,,0,
,M.D,1,1,0,
,,,,0,
,M D.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R D L,,,,0,
,,,,0,
,.R D L,0,0,0,
,,,,0,
,R.D L,0.333333333,0,0.333333333,
,,,,0,
,R D.L,0.666666667,1,-0.333333333,
,,,,0,
,R D L.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R S,,,,0,
,,,,0,
,.R S,0.012445887,0,0.012445887,
,,,,0,
,R.S,0.952804442,0.804107687,0.148696755,
,,,,0,
,R S.,0.028526727,0.195892313,-0.167365587,
,,,,0,
,?.?,0.006222944,,0.006222944,
,,,,0,
T F,,,,0,
,,,,0,
,.T F,0.016798419,0,0.016798419,
,,,,0,
,T.F,0.977519763,1,-0.022480237,
,,,,0,
,T F.,0.005681818,0,0.005681818,
,,,,0,
,?.?,0,,0,
,,,,0,
S B,,,,0,
,,,,0,
,.S B,0.052173913,0,0.052173913,
,,,,0,
,S.B,0.939130435,1,-0.060869565,
,,,,0,
,S B.,0.008695652,0,0.008695652,
,,,,0,
,?.?,0,,0,
,,,,0,
S K W,,,,0,
,,,,0,
,.S K W,0.047619048,0.552464512,-0.504845465,
,,,,0,
,S.K W,0.883022775,0.407447036,0.475575738,"morphology, eg misquote"
,,,,0,
,S K.W,0.069358178,0.040088451,0.029269727,
,,,,0,
,S K W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
M S T R,,,,0,
,,,,0,
,.M S T R,0,0,0,
,,,,0,
,M.S T R,0.824016563,1,-0.175983437,
,,,,0,
,M S.T R,0.154244307,0,0.154244307,
,,,,0,
,M S T.R,0.021739131,0,0.021739131,
,,,,0,
,?.?,0,,0,
,,,,0,
R HH,,,,0,
,,,,0,
,.R HH,0,0,0,
,,,,0,
,R.HH,1,1,0,
,,,,0,
,R HH.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
NG,,,,0,
,,,,0,
,.NG,0.05612413,0,0.05612413,
,,,,0,
,NG.,0.932985719,1,-0.067014281,
,,,,0,
,?.?,0.010890152,,0.010890152,
,,,,0,
N D HH,,,,0,
,,,,0,
,.N D HH,0.015873016,0,0.015873016,
,,,,0,
,N.D HH,0.105590062,0,0.105590062,
,,,,0,
,N D.HH,0.862663906,1,-0.137336094,
,,,,0,
,N D HH.,0,0,0,
,,,,0,
,?.?,0.015873016,,0.015873016,
,,,,0,
S R,,,,0,
,,,,0,
,.S R,0.047619048,0,0.047619048,
,,,,0,
,S.R,0.952380953,1,-0.047619048,
,,,,0,
,S R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
G HH,,,,0,
,,,,0,
,.G HH,0,0,0,
,,,,0,
,G.HH,1,1,0,
,,,,0,
,G HH.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
B M,,,,0,
,,,,0,
,.B M,0.060010038,0,0.060010038,
,,,,0,
,B.M,0.893092415,1,-0.106907585,
,,,,0,
,B M.,0.046897547,0,0.046897547,
,,,,0,
,?.?,0,,0,
,,,,0,
R T S M,,,,0,
,,,,0,
,.R T S M,0,0,0,
,,,,0,
,R.T S M,0.142857143,0,0.142857143,
,,,,0,
,R T.S M,0.142857143,0.56281407,-0.419956927,
,,,,0,
,R T S.M,0.714285714,0.43718593,0.277099784,
,,,,0,
,?.?,0,,0,
,,,,0,
NG TH,,,,0,
,,,,0,
,.NG TH,0.047619048,0,0.047619048,
,,,,0,
,NG.TH,0.651515152,0.509829968,0.141685183,
,,,,0,
,NG TH.,0.300865801,0.490170032,-0.189304231,
,,,,0,
,?.?,0,,0,
,,,,0,
M S T,,,,0,
,,,,0,
,.M S T,0.008695652,0,0.008695652,
,,,,0,
,M.S T,0.917635987,1,-0.082364013,
,,,,0,
,M S.T,0.055053642,0,0.055053642,
,,,,0,
,M S T.,0.018614719,0,0.018614719,
,,,,0,
,?.?,0,,0,
,,,,0,
T HH,,,,0,
,,,,0,
,.T HH,0.071428571,0,0.071428571,
,,,,0,
,T.HH,0.859307359,1,-0.140692641,
,,,,0,
,T HH.,0.069264069,0,0.069264069,
,,,,0,
,?.?,0,,0,
,,,,0,
M P Y,,,,0,
,,,,0,
,.M P Y,0,0,0,
,,,,0,
,M.P Y,0.883116883,0.674514943,0.20860194,
,,,,0,
,M P.Y,0.116883117,0.325485057,-0.20860194,
,,,,0,
,M P Y.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
S T L,,,,0,
,,,,0,
,.S T L,0.059288538,0,0.059288538,
,,,,0,
,S.T L,0.119957338,0,0.119957338,
,,,,0,
,S T.L,0.804881109,1,-0.195118891,
,,,,0,
,S T L.,0.015873016,0,0.015873016,
,,,,0,
,?.?,0,,0,
,,,,0,
L F L,,,,0,
,,,,0,
,.L F L,0,0,0,
,,,,0,
,L.F L,0.238095238,0.976464011,-0.738368773,
,,,,0,
,L F.L,0.761904762,0.023535989,0.738368773,selfless
,,,,0,
,L F L.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
M B L,,,,0,
,,,,0,
,.M B L,0.088336784,0,0.088336784,
,,,,0,
,M.B L,0.807453416,1,-0.192546584,
,,,,0,
,M B.L,0.075224293,0,0.075224293,
,,,,0,
,M B L.,0.028985507,0,0.028985507,
,,,,0,
,?.?,0,,0,
,,,,0,
K Y,,,,0,
,,,,0,
,.K Y,0.717679591,0.541203476,0.176476115,
,,,,0,
,K.Y,0.275074032,0.458796524,-0.183722492,
,,,,0,
,K Y.,0.007246377,0,0.007246377,
,,,,0,
,?.?,0,,0,
,,,,0,
T B,,,,0,
,,,,0,
,.T B,0.027705628,0,0.027705628,
,,,,0,
,T.B,0.972294372,1,-0.027705628,
,,,,0,
,T B.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R JH,,,,0,
,,,,0,
,.R JH,0,0,0,
,,,,0,
,R.JH,0.900194805,0.731439093,0.168755712,
,,,,0,
,R JH.,0.099805195,0.268560907,-0.168755712,
,,,,0,
,?.?,0,,0,
,,,,0,
L JH,,,,0,
,,,,0,
,.L JH,0,0,0,
,,,,0,
,L.JH,0.954451346,0.974144908,-0.019693562,
,,,,0,
,L JH.,0.045548654,0.025855092,0.019693562,
,,,,0,
,?.?,0,,0,
,,,,0,
B R,,,,0,
,,,,0,
,.B R,0.850700326,0.858257005,-0.007556679,almost exactly right
,,,,0,
,B.R,0.137936037,0.141742995,-0.003806958,
,,,,0,
,B R.,0.011363636,0,0.011363636,
,,,,0,
,?.?,0,,0,
,,,,0,
N JH F,,,,0,
,,,,0,
,.N JH F,0,0,0,
,,,,0,
,N.JH F,0,0,0,
,,,,0,
,N JH.F,1,1,0,
,,,,0,
,N JH F.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
K HH,,,,0,
,,,,0,
,.K HH,0.047619048,0,0.047619048,
,,,,0,
,K.HH,0.095238095,1,-0.904761905,
,,,,0,
,K HH.,0.857142857,0,0.857142857,
,,,,0,
,?.?,0,,0,
,,,,0,
TH W,,,,0,
,,,,0,
,.TH W,0.206521739,0.176799574,0.029722165,
,,,,0,
,TH.W,0.522774327,0.823200426,-0.300426099,
,,,,0,
,TH W.,0.259834368,0,0.259834368,
,,,,0,
,?.?,0.010869565,,0.010869565,
,,,,0,
T G,,,,0,
,,,,0,
,.T G,0.047619048,0,0.047619048,
,,,,0,
,T.G,0.904761904,1,-0.095238096,
,,,,0,
,T G.,0.047619048,0,0.047619048,
,,,,0,
,?.?,0,,0,
,,,,0,
T N,,,,0,
,,,,0,
,.T N,0.044960474,0,0.044960474,
,,,,0,
,T.N,0.931771128,1,-0.068228873,
,,,,0,
,T N.,0.011904762,0,0.011904762,
,,,,0,
,?.?,0.011363636,,0.011363636,
,,,,0,
TH HH,,,,0,
,,,,0,
,.TH HH,0.047619048,0,0.047619048,
,,,,0,
,TH.HH,0.952380952,1,-0.047619048,
,,,,0,
,TH HH.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N S F,,,,0,
,,,,0,
,.N S F,0,0,0,
,,,,0,
,N.S F,0.233766234,0,0.233766234,
,,,,0,
,N S.F,0.766233766,1,-0.233766234,
,,,,0,
,N S F.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
ZH M,,,,0,
,,,,0,
,.ZH M,0.142857143,0,0.142857143,
,,,,0,
,ZH.M,0.857142857,1,-0.142857143,
,,,,0,
,ZH M.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
M K,,,,0,
,,,,0,
,.M K,0.023809524,0,0.023809524,
,,,,0,
,M.K,0.976190476,1,-0.023809524,
,,,,0,
,M K.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R SH,,,,0,
,,,,0,
,.R SH,0,0,0,
,,,,0,
,R.SH,0.892057218,0.820972281,0.071084937,
,,,,0,
,R SH.,0.107942782,0.179027719,-0.071084937,
,,,,0,
,?.?,0,,0,
,,,,0,
R T N,,,,0,
,,,,0,
,.R T N,0,0,0,
,,,,0,
,R.T N,0.068181818,0,0.068181818,
,,,,0,
,R T.N,0.931818182,1,-0.068181818,
,,,,0,
,R T N.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
L P R,,,,0,
,,,,0,
,.L P R,0,0,0,
,,,,0,
,L.P R,0.930735931,0.992924605,-0.062188674,
,,,,0,
,L P.R,0.06926407,0.007075395,0.062188674,
,,,,0,
,L P R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
B JH,,,,0,
,,,,0,
,.B JH,0.044858523,0,0.044858523,
,,,,0,
,B.JH,0.939989962,1,-0.060010038,
,,,,0,
,B JH.,0.015151515,0,0.015151515,
,,,,0,
,?.?,0,,0,
,,,,0,
T K,,,,0,
,,,,0,
,.T K,0,0,0,
,,,,0,
,T.K,1,1,0,
,,,,0,
,T K.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
T W,,,,0,
,,,,0,
,.T W,0.216814888,0.269320526,-0.052505638,
,,,,0,
,T.W,0.767672847,0.730679474,0.036993373,
,,,,0,
,T W.,0.015512265,0,0.015512265,
,,,,0,
,?.?,0,,0,
,,,,0,
S W,,,,0,
,,,,0,
,.S W,0.221265449,0.514478773,-0.293213324,
,,,,0,
,S.W,0.763583036,0.485521227,0.278061809,
,,,,0,
,S W.,0.007575758,0,0.007575758,
,,,,0,
,?.?,0.007575758,,0.007575758,
,,,,0,
P N,,,,0,
,,,,0,
,.P N,0.045548654,0,0.045548654,
,,,,0,
,P.N,0.932712215,1,-0.067287785,
,,,,0,
,P N.,0.021739131,0,0.021739131,
,,,,0,
,?.?,0,,0,
,,,,0,
T F L,,,,0,
,,,,0,
,.T F L,0.047619048,0,0.047619048,
,,,,0,
,T.F L,0.952380952,1,-0.047619048,
,,,,0,
,T F.L,0,0,0,
,,,,0,
,T F L.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R Z M,,,,0,
,,,,0,
,.R Z M,0,0,0,
,,,,0,
,R.Z M,0.095238095,0,0.095238095,
,,,,0,
,R Z.M,0.904761905,1,-0.095238095,
,,,,0,
,R Z M.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
F B,,,,0,
,,,,0,
,.F B,0,0,0,
,,,,0,
,F.B,1,1,0,
,,,,0,
,F B.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
B T R,,,,0,
,,,,0,
,.B T R,0,0,0,
,,,,0,
,B.T R,1,1,0,
,,,,0,
,B T.R,0,0,0,
,,,,0,
,B T R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
F Y,,,,0,
,,,,0,
,.F Y,0.620757262,0.892452468,-0.271695206,
,,,,0,
,F.Y,0.356154715,0.107547532,0.248607183,
,,,,0,
,F Y.,0.023088023,0,0.023088023,
,,,,0,
,?.?,0,,0,
,,,,0,
G T,,,,0,
,,,,0,
,.G T,0,0,0,
,,,,0,
,G.T,1,1,0,
,,,,0,
,G T.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
M R,,,,0,
,,,,0,
,.M R,0.057900433,0,0.057900433,
,,,,0,
,M.R,0.930735931,1,-0.069264069,
,,,,0,
,M R.,0.011363636,0,0.011363636,
,,,,0,
,?.?,0,,0,
,,,,0,
N K R,,,,0,
,,,,0,
,.N K R,0.021739131,0,0.021739131,
,,,,0,
,N.K R,0.97826087,1,-0.021739131,
,,,,0,
,N K.R,0,0,0,
,,,,0,
,N K R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
K S P,,,,0,
,,,,0,
,.K S P,0.019198193,0,0.019198193,
,,,,0,
,K.S P,0.347090022,0.563842197,-0.216752175,
,,,,0,
,K S.P,0.621548224,0.436157803,0.185390421,
,,,,0,
,K S P.,0.012163561,0,0.012163561,
,,,,0,
,?.?,0,,0,
,,,,0,
P CH,,,,0,
,,,,0,
,.P CH,0.093073593,0,0.093073593,
,,,,0,
,P.CH,0.871753247,1,-0.128246753,
,,,,0,
,P CH.,0.03517316,0,0.03517316,
,,,,0,
,?.?,0,,0,
,,,,0,
CH F,,,,0,
,,,,0,
,.CH F,0.047619048,0,0.047619048,
,,,,0,
,CH.F,0.952380952,1,-0.047619048,
,,,,0,
,CH F.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
SH F,,,,0,
,,,,0,
,.SH F,0,0,0,
,,,,0,
,SH.F,1,1,0,
,,,,0,
,SH F.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N W,,,,0,
,,,,0,
,.N W,0.022727273,0,0.022727273,
,,,,0,
,N.W,0.977272727,1,-0.022727273,
,,,,0,
,N W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
V S T,,,,0,
,,,,0,
,.V S T,0.047619048,0,0.047619048,
,,,,0,
,V.S T,0.904761904,1,-0.095238096,
,,,,0,
,V S.T,0.047619048,0,0.047619048,
,,,,0,
,V S T.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
L S T R,,,,0,
,,,,0,
,.L S T R,0,0,0,
,,,,0,
,L.S T R,1,0.98771243,0.01228757,
,,,,0,
,L S.T R,0,0.01228757,-0.01228757,
,,,,0,
,L S T.R,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
F G,,,,0,
,,,,0,
,.F G,0,0,0,
,,,,0,
,F.G,0.952380952,1,-0.047619048,
,,,,0,
,F G.,0.047619048,0,0.047619048,
,,,,0,
,?.?,0,,0,
,,,,0,
P K,,,,0,
,,,,0,
,.P K,0.034632035,0,0.034632035,
,,,,0,
,P.K,0.965367965,1,-0.034632035,
,,,,0,
,P K.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
L R,,,,0,
,,,,0,
,.L R,0,0,0,
,,,,0,
,L.R,1,1,0,
,,,,0,
,L R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
NG K W,,,,0,
,,,,0,
,.NG K W,0,0,0,
,,,,0,
,NG.K W,0.953823954,0.350289017,0.603534936,
,,,,0,
,NG K.W,0.046176046,0.649710983,-0.603534936,
,,,,0,
,NG K W.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
S K R,,,,0,
,,,,0,
,.S K R,0.445594391,0.443189207,0.002405184,
,,,,0,
,S.K R,0.442904762,0.462220064,-0.019315303,
,,,,0,
,S K.R,0.111500847,0.094590728,0.016910119,
,,,,0,
,S K R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
D SH,,,,0,
,,,,0,
,.D SH,0,0,0,
,,,,0,
,D.SH,1,1,0,
,,,,0,
,D SH.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
G L,,,,0,
,,,,0,
,.G L,0.713838698,0.826589125,-0.112750427,
,,,,0,
,G.L,0.264422172,0.173410875,0.091011297,
,,,,0,
,G L.,0.021739131,0,0.021739131,
,,,,0,
,?.?,0,,0,
,,,,0,
D HH,,,,0,
,,,,0,
,.D HH,0.020833334,0,0.020833334,
,,,,0,
,D.HH,0.931547619,1,-0.068452381,
,,,,0,
,D HH.,0.047619048,0,0.047619048,
,,,,0,
,?.?,0,,0,
,,,,0,
D S T R,,,,0,
,,,,0,
,.D S T R,0,0,0,
,,,,0,
,D.S T R,0.954545455,0.958062656,-0.003517201,
,,,,0,
,D S.T R,0.045454545,0,0.045454545,
,,,,0,
,D S T.R,0,0.041937344,-0.041937344,
,,,,0,
,?.?,0,,0,
,,,,0,
T Y,,,,0,
,,,,0,
,.T Y,0.681818182,0,0.681818182,
,,,,0,
,T.Y,0.136363636,1,-0.863636364,
,,,,0,
,T Y.,0,0,0,
,,,,0,
,?.?,0.181818182,,0.181818182,
,,,,0,
R T F,,,,0,
,,,,0,
,.R T F,0,0,0,
,,,,0,
,R.T F,0.045454545,0,0.045454545,
,,,,0,
,R T.F,0.954545455,1,-0.045454545,
,,,,0,
,R T F.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
L HH,,,,0,
,,,,0,
,.L HH,0.067193676,0,0.067193676,
,,,,0,
,L.HH,0.932806324,1,-0.067193676,
,,,,0,
,L HH.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R DH,,,,0,
,,,,0,
,.R DH,0,0,0,
,,,,0,
,R.DH,0.888339921,1,-0.111660079,
,,,,0,
,R DH.,0.088932806,0,0.088932806,
,,,,0,
,?.?,0.022727273,,0.022727273,
,,,,0,
N R,,,,0,
,,,,0,
,.N R,0.034090909,0,0.034090909,
,,,,0,
,N.R,0.954545455,1,-0.045454545,
,,,,0,
,N R.,0.011363636,0,0.011363636,
,,,,0,
,?.?,0,,0,
,,,,0,
N S M,,,,0,
,,,,0,
,.N S M,0,0,0,
,,,,0,
,N.S M,0.136363636,0.146703917,-0.010340281,
,,,,0,
,N S.M,0.863636364,0.853296083,0.010340281,
,,,,0,
,N S M.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
SH M,,,,0,
,,,,0,
,.SH M,0.136363636,0,0.136363636,
,,,,0,
,SH.M,0.863636364,1,-0.136363636,
,,,,0,
,SH M.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
S P R,,,,0,
,,,,0,
,.S P R,0.125,0.121457308,0.003542692,
,,,,0,
,S.P R,0.81884058,0.860211521,-0.041370941,
,,,,0,
,S P.R,0.042270531,0.018331171,0.023939361,
,,,,0,
,S P R.,0.013888889,0,0.013888889,
,,,,0,
,?.?,0,,0,
,,,,0,
S T P,,,,0,
,,,,0,
,.S T P,0.090909091,0,0.090909091,
,,,,0,
,S.T P,0.272727273,0,0.272727273,
,,,,0,
,S T.P,0.636363636,1,-0.363636364,
,,,,0,
,S T P.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
T S W,,,,0,
,,,,0,
,.T S W,0.772727273,0,0.772727273,
,,,,0,
,T.S W,0.181818182,0.996589268,-0.814771086,
,,,,0,
,T S.W,0,0.003410732,-0.003410732,
,,,,0,
,T S W.,0,0,0,
,,,,0,
,?.?,0.045454545,,0.045454545,
,,,,0,
L T R,,,,0,
,,,,0,
,.L T R,0,0,0,
,,,,0,
,L.T R,0.977272728,0.885178987,0.092093741,
,,,,0,
,L T.R,0.022727273,0.114821013,-0.092093741,
,,,,0,
,L T R.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
N SH,,,,0,
,,,,0,
,.N SH,0.022021457,0,0.022021457,
,,,,0,
,N.SH,0.95878035,1,-0.04121965,
,,,,0,
,N SH.,0.012704687,0,0.012704687,
,,,,0,
,?.?,0.006493507,,0.006493507,
,,,,0,
N CH P,,,,0,
,,,,0,
,.N CH P,0,0,0,
,,,,0,
,N.CH P,0.045454545,0,0.045454545,
,,,,0,
,N CH.P,0.90909091,1,-0.09090909,
,,,,0,
,N CH P.,0,0,0,
,,,,0,
,?.?,0.045454545,,0.045454545,
,,,,0,
M N,,,,0,
,,,,0,
,.M N,0.015151515,0,0.015151515,
,,,,0,
,M.N,0.970355731,1,-0.029644269,
,,,,0,
,M N.,0.014492754,0,0.014492754,
,,,,0,
,?.?,0,,0,
,,,,0,
R F,,,,0,
,,,,0,
,.R F,0.011705686,0,0.011705686,
,,,,0,
,R.F,0.956956088,0.945323613,0.011632474,
,,,,0,
,R F.,0.031338227,0.054676387,-0.02333816,
,,,,0,
,?.?,0,,0,
,,,,0,
R G,,,,0,
,,,,0,
,.R G,0.008893281,0,0.008893281,
,,,,0,
,R.G,0.905533597,0.960702457,-0.05516886,
,,,,0,
,R G.,0.072134387,0.039297543,0.032836844,
,,,,0,
,?.?,0.013438735,,0.013438735,
,,,,0,
S K Y,,,,0,
,,,,0,
,.S K Y,0.568181818,0.119832899,0.448348919,
,,,,0,
,S.K Y,0.409090909,0.761030455,-0.351939545,
,,,,0,
,S K.Y,0.022727273,0.119136646,-0.096409374,
,,,,0,
,S K Y.,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
R S SH,,,,0,
,,,,0,
,.R S SH,0,0,0,
,,,,0,
,R.S SH,0.227272727,0,0.227272727,
,,,,0,
,R S.SH,0.727272728,1,-0.272727272,
,,,,0,
,R S SH.,0.045454545,0,0.045454545,
,,,,0,
,?.?,0,,0,
,,,,0,
N S P L,,,,0,
,,,,0,
,.N S P L,0,0,0,
,,,,0,
,N.S P L,0.272727273,0.460834656,-0.188107383,
,,,,0,
,N S.P L,0.727272727,0.539165344,0.188107383,
,,,,0,
,N S P.L,0,0,0,
,,,,0,
,?.?,0,,0,
,,,,0,
S P L,,,,0,
,,,,0,
,.S P L,0.090909091,0.346461389,-0.255552298,
,,,,0,
,S.P L,0.863636364,0.621050866,0.242585498,
,,,,0,
